source,run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,weighted_approach_speed,brake_penalty,tail_mae,jitter_std,overshoot,max_overshoot
run_history,mpc_replay_1780013644_d06916b6,far,403.9828197956085,10.117063522338867,0.0,-10.117063522338867,10.117063522338867,-0.1109449494674048,1.0,1.0,4.0,1.0,1.0,4.0,10.117063522338867,,,,,,,,,,,,
run_history,mpc_replay_1780482474_94c367ac,far,375.9954135417938,10.117063522338867,0.0,-10.117063522338867,10.117063522338867,-0.11067233664028682,1.0,1.0,14.0,1.0,1.0,14.0,10.117063522338867,,,,,,,,,,,,
run_history,mpc_replay_1780514661_b02dcc14,far,310.0034930706024,10.117063522338867,0.0,-10.117063522338867,10.117063522338867,-0.06667317483351859,1.0,1.0,19.0,1.0,1.0,19.0,10.117063522338867,,,,,,,,,,,,
run_history,mpc_replay_1780492043_7b06cb38,far,331.981299161911,10.382472038269045,0.0,-10.382472038269045,10.382472038269045,-0.04414172483015348,30.0,15.0,16.0,30.0,15.0,16.0,10.382472038269045,,,,,,,,,,,,
run_history,run_1778911869_11231679,far,166.43185305595398,10.117063522338867,0.0,-10.117063522338867,10.117063522338867,-0.021753859808224526,7.0,966.0,1.0,7.0,966.0,1.0,10.496093269376193,10.496093269376193,85.0,10.767635771807502,170.40917944908142,,,,,,,,
run_history,run_1778911869_11231679,far,152.4029517173767,10.338232040405272,0.0,-10.338232040405272,10.338232040405272,0.0,7.0,966.0,1.0,7.0,966.0,1.0,10.496093269376193,10.496093269376193,85.0,10.767635771807502,170.40917944908142,,,,,,,,
run_history,run_1778911869_11231679,far,136.4035964012146,10.42669677734375,0.0,-10.42669677734375,10.42669677734375,0.0222127007521979,7.0,966.0,1.0,7.0,966.0,1.0,10.496093269376193,10.496093269376193,85.0,10.767635771807502,170.40917944908142,,,,,,,,
run_history,run_1778911869_11231679,far,106.41335225105286,10.470951080322266,0.0,-10.470951080322266,10.470951080322266,0.0,7.0,966.0,1.0,7.0,966.0,1.0,10.496093269376193,10.496093269376193,85.0,10.767635771807502,170.40917944908142,,,,,,,,
run_history,run_1778911869_11231679,far,90.39848685264587,10.603660583496094,0.0,-10.603660583496094,10.603660583496094,0.0,7.0,966.0,1.0,7.0,966.0,1.0,10.496093269376193,10.496093269376193,85.0,10.767635771807502,170.40917944908142,,,,,,,,
run_history,run_1778911869_11231679,far,76.40092182159424,10.64788818359375,0.0,-10.64788818359375,10.64788818359375,0.0,7.0,966.0,1.0,7.0,966.0,1.0,10.496093269376193,10.496093269376193,85.0,10.767635771807502,170.40917944908142,,,,,,,,
