"run_id","band","kp","ki","kd","cost","n_samples","start_temp","target_temp","duration_s","far_mae","time_to_reach_mid_band","mid_mae","approach_speed","tail_mae","jitter_std","overshoot"
"run_1776745299_400a4a40","far","6.0","813.0","7.0","32.56946878998319","181","28.140708923339844","0.0","1197.104104757309","20.4574150881056","403.7351233959198","","","","",""
"run_1776745299_400a4a40","mid","13.0","297.0","37.0","6.016935215705548","14","28.140708923339844","0.0","1197.104104757309","","","5.927677597318377","0.05950507892478063","","",""
"run_1776745299_400a4a40","near","18.0","265.0","64.0","13.878177495560262","342","28.140708923339844","0.0","1197.104104757309","","","","","0.9507324995817962","0.273631177929449","0.9787663072961078"
