epoch,train_loss,train_eval_loss,val_loss,train_mae_delta_t1,train_rmse_delta_t1,train_bias_delta_t1,val_mae_delta_t1,val_rmse_delta_t1,val_bias_delta_t1
1,0.23328030222293103,0.2226840050752498,0.2999939320940677,0.029205195605754852,0.07500625401735306,0.0009630516287870705,0.037226900458335876,0.08685021847486496,0.008060858584940434
2,0.2170998204920246,0.207093288203491,0.2827401457941287,0.02844960242509842,0.07396966218948364,0.004186936188489199,0.036431293934583664,0.08611879497766495,0.012269750237464905
3,0.17759031648478232,0.17755978311265797,0.2591279504233844,0.02578008733689785,0.07239643484354019,-0.003672955557703972,0.03413145989179611,0.08471392840147018,0.003883386729285121
4,0.1621132290745077,0.158519737053016,0.2415901495475475,0.023692253977060318,0.07113480567932129,0.0010813173139467835,0.032339129596948624,0.08228469640016556,0.005990464705973864
5,0.1548282721031139,0.1464631384746595,0.23354238585556206,0.02209317311644554,0.07038674503564835,0.002427223604172468,0.031355902552604675,0.0818759873509407,0.007949072867631912
6,0.15024959859399756,0.14520510283014007,0.23153019027963076,0.022012611851096153,0.07038399577140808,0.0024067217018455267,0.031085873022675514,0.0814027413725853,0.006966081913560629
7,0.14888627242204572,0.1479391864611262,0.23377792876571007,0.022573743015527725,0.07039628177881241,0.0038408543914556503,0.03141118958592415,0.08150935173034668,0.010953592136502266
8,0.14735965184436356,0.14084371988027877,0.23035810262679238,0.021376444026827812,0.07001828402280807,0.0011879501398652792,0.030983857810497284,0.0809725895524025,0.0063898153603076935
9,0.14473761403650948,0.13984695064627434,0.22766462562937442,0.021586691960692406,0.06999030709266663,0.002950900001451373,0.03071819432079792,0.08089888840913773,0.009699356742203236
10,0.14333920852991833,0.14212936540608892,0.2302738018078755,0.02154644951224327,0.07014050334692001,0.004024787340313196,0.03095693141222,0.0809306800365448,0.009061218239367008
11,0.14211458271528407,0.15050885193152533,0.2414500117301941,0.02239893563091755,0.07076548784971237,0.006517085712403059,0.0320262648165226,0.08238714933395386,0.011536695063114166
12,0.14128568409826636,0.13464989533683813,0.22241556200466744,0.020636823028326035,0.06947772949934006,-0.0013778159627690911,0.03009367361664772,0.07987331598997116,0.00467198621481657
13,0.14019363671130713,0.13469091322550103,0.2257280661788297,0.020489124581217766,0.06958036124706268,0.003690750105306506,0.03033583238720894,0.08076155185699463,0.009028047323226929
14,0.1386904891416143,0.13708440752150927,0.22936514668064575,0.021034345030784607,0.06958413869142532,0.006608709692955017,0.030734708532691002,0.08098481595516205,0.01253707055002451
15,0.13802661755976597,0.13231685415895517,0.2210854557534195,0.02029607817530632,0.0692710354924202,0.0007443620124831796,0.029827291145920753,0.07981943339109421,0.0063837263733148575
16,0.1367936669322906,0.13232859711550155,0.22376491820873462,0.02025572955608368,0.06936005502939224,0.0016739548882469535,0.030113602057099342,0.08062492311000824,0.007087121717631817
17,0.13604416831629992,0.12920377614905354,0.21919011299128402,0.019947722554206848,0.06915464997291565,0.0005602358723990619,0.029643505811691284,0.08008214086294174,0.006916241254657507
18,0.1353657296024899,0.13815351702868117,0.22757220303971473,0.020745310932397842,0.06973495334386826,0.0027351502794772387,0.03044317290186882,0.081040158867836,0.007914247922599316
19,0.13473297582718624,0.13229643562218538,0.222410573254097,0.020178457722067833,0.06919801980257034,-0.002585281850770116,0.029916323721408844,0.07971101999282837,0.0032929384615272284
20,0.13341410302097803,0.1281144499019322,0.2183362804863551,0.01990675926208496,0.06886458396911621,-0.00032977748196572065,0.029603874310851097,0.07986540347337723,0.005233431700617075
21,0.13320089451783945,0.13092819728039348,0.22607859933417138,0.02013975940644741,0.06899388879537582,0.0040010069496929646,0.03035166673362255,0.08123381435871124,0.009396908804774284
22,0.13268211956030737,0.12754219582627627,0.219781075030157,0.0198114775121212,0.06877312064170837,0.003447671653702855,0.02964800037443638,0.08047346770763397,0.009468651376664639
23,0.13214018450890855,0.12593645570137776,0.2195584313714341,0.019553465768694878,0.06879766285419464,-0.00015184837684500962,0.029718976467847824,0.08050639182329178,0.006146530620753765
24,0.13110442662780936,0.12574937878068815,0.21923015118665892,0.019358061254024506,0.06881079077720642,0.0010715308599174023,0.02947165071964264,0.08092616498470306,0.006806913763284683
25,0.13007023229620346,0.1261509610416968,0.21808454134080507,0.01960592344403267,0.06870973855257034,-0.00031767506152391434,0.029459992423653603,0.08064122498035431,0.005357061978429556
26,0.13042268290931036,0.1279356118404504,0.22046419865872763,0.019931046292185783,0.06890769302845001,-0.0029414475429803133,0.02981402911245823,0.0811799094080925,0.002868509851396084
27,0.12911657498990373,0.1252767656296081,0.21937182601796437,0.01946558989584446,0.06874394416809082,-0.000777610344812274,0.02963295392692089,0.08117671310901642,0.005303475074470043
28,0.1284717923445889,0.12601793631295527,0.2198893496230857,0.02007167972624302,0.06861113011837006,0.0045161196030676365,0.02977983094751835,0.08097703754901886,0.010710503906011581
29,0.12848678945509856,0.12293526234705586,0.21734137218190383,0.01964053511619568,0.06832148879766464,0.002786673605442047,0.029566103592514992,0.08067801594734192,0.00893944501876831
30,0.12754849704705978,0.12740821634565502,0.22277508635226995,0.019903507083654404,0.06857229769229889,-0.0015716729685664177,0.030123230069875717,0.08116544783115387,0.00418349402025342
31,0.12725697556310447,0.12207262829643964,0.22008781313692052,0.019231028854846954,0.06845787912607193,0.0007040503551252186,0.02980593964457512,0.08157651871442795,0.006483849603682756
32,0.1271420839876347,0.12256309554268177,0.220316426471284,0.01904572732746601,0.06837919354438782,0.0009935131529346108,0.029596373438835144,0.08127991110086441,0.006501662544906139
33,0.12647607092317142,0.12109871296925322,0.2183971545875889,0.0190877802670002,0.068184494972229,0.00020675455743912607,0.02952932007610798,0.08146288245916367,0.006731404922902584
34,0.12586572902795368,0.12230972003078822,0.21816449158199847,0.01925908774137497,0.06805268675088882,0.0007771951495669782,0.029446657747030258,0.08056458830833435,0.0063009122386574745
35,0.12479435270216019,0.12445398738233182,0.22378989719875056,0.01924246922135353,0.06855382770299911,0.004096776247024536,0.03000713512301445,0.0824827253818512,0.009663437493145466
36,0.12483585807533304,0.12016157562698214,0.21698180823395513,0.018865427002310753,0.0680839940905571,0.00166881806217134,0.02921343594789505,0.08102817088365555,0.007380443625152111
37,0.12461280911011473,0.11932241469211158,0.2161629083375,0.01891324296593666,0.06803306937217712,-0.002045893808826804,0.02932138368487358,0.08129443228244781,0.004271629732102156
38,0.12355020803401949,0.1166424636341652,0.21601368157728895,0.018450476229190826,0.06771591305732727,0.001491786795668304,0.029235715046525,0.08116811513900757,0.00763297313824296
39,0.12339679701843866,0.12089148043211005,0.22046083329270963,0.01895073801279068,0.0681387335062027,0.001639154739677906,0.029739519581198692,0.08194278180599213,0.007604561280459166
40,0.12308819652034723,0.1181444105058498,0.21957229641712692,0.018763244152069092,0.0676485002040863,0.00296601140871644,0.029622383415699005,0.08124054223299026,0.00933101773262024
41,0.1227902579621589,0.12124414000013643,0.22267205758045797,0.019087526947259903,0.06786548346281052,-0.0033501689322292805,0.03001617267727852,0.08118040859699249,0.00184410170186311
42,0.12133853752217345,0.12109184501687521,0.22463716719656773,0.019016727805137634,0.0679013803601265,0.004701423924416304,0.030099112540483475,0.08246293663978577,0.010804461315274239
43,0.12168133843782519,0.11821263667822049,0.21916468678782247,0.018553009256720543,0.06753358244895935,-0.0019959586206823587,0.029525600373744965,0.08123034983873367,0.00362085341475904
44,0.12107341157749665,0.11719511159934289,0.21760674088887155,0.018413720652461052,0.06713678687810898,-0.001432394259609282,0.029261576011776924,0.08044333755970001,0.004011157434433699
45,0.12095897086477805,0.12058464690180849,0.2185350859359111,0.01883850432932377,0.06688540428876877,-0.0044964756816625595,0.02940652146935463,0.0795246958732605,0.001677878201007843
46,0.11992001176886158,0.1136808536187348,0.21384238686463605,0.018115650862455368,0.06642335653305054,0.00020091855549253523,0.02894471026957035,0.07928793877363205,0.00582434656098485
47,0.11932860732530103,0.1146998973127157,0.21781671003834024,0.018160680308938026,0.06662650406360626,0.003740627784281969,0.02924518845975399,0.08020012825727463,0.00922749936580658
48,0.11948736584116769,0.11280601945790378,0.2128541919415536,0.01790531724691391,0.06577494740486145,4.373673800728284e-05,0.028749138116836548,0.07847260683774948,0.005562550388276577
49,0.11854878533888126,0.11474319466854094,0.21889066869673662,0.018123110756278038,0.06615470349788666,0.0014992548385635018,0.029419805854558945,0.07991134375333786,0.007283208426088095
50,0.11783514608508464,0.11172279799177463,0.21513236247717518,0.01796707883477211,0.06555815041065216,0.002011033007875085,0.029049929231405258,0.07988905161619186,0.007488106843084097
51,0.11727548205388644,0.11287249973654419,0.2162270727376007,0.01792844943702221,0.06437031924724579,0.0008871977915987372,0.029144084081053734,0.0764843299984932,0.006048060953617096
52,0.11732041151788773,0.11217032140505707,0.21710409525118463,0.017962854355573654,0.06526243686676025,0.0024330103769898415,0.02918892353773117,0.0797177106142044,0.007877813652157784
