event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_44@860.0s,3,208,15,1780483338.0549548,mpc_replay_1780482474_94c367ac,44,860.0,861.9956674575806,True
mpc_decision_45@880.0s,2,204,12,1780483356.0592444,mpc_replay_1780482474_94c367ac,45,880.0,880.0018546581268,True
mpc_decision_46@900.0s,1,251,8,1780483378.0588107,mpc_replay_1780482474_94c367ac,46,900.0,902.004506111145,True
mpc_decision_47@920.0s,2,228,7,1780483396.0589116,mpc_replay_1780482474_94c367ac,47,920.0,920.0030293464661,True
mpc_decision_48@940.0s,1,207,3,1780483418.0594373,mpc_replay_1780482474_94c367ac,48,940.0,941.9921336174011,True
mpc_decision_49@960.0s,1,220,2,1780483436.059577,mpc_replay_1780482474_94c367ac,49,960.0,960.0032749176025,True
mpc_decision_50@980.0s,1,205,1,1780483458.058842,mpc_replay_1780482474_94c367ac,50,980.0,982.0031671524048,True
mpc_decision_51@1000.0s,1,205,1,1780483478.0595362,mpc_replay_1780482474_94c367ac,51,1000.0,1002.0022354125977,False
mpc_decision_52@1020.0s,1,192,2,1780483498.05943,mpc_replay_1780482474_94c367ac,52,1020.0,1021.9931299686432,True
mpc_decision_53@1040.0s,1,187,2,1780483518.059621,mpc_replay_1780482474_94c367ac,53,1040.0,1041.9939739704132,True
mpc_decision_54@1060.0s,1,195,2,1780483538.0599122,mpc_replay_1780482474_94c367ac,54,1060.0,1061.9926009178162,True
mpc_decision_55@1080.0s,1,194,2,1780483556.059184,mpc_replay_1780482474_94c367ac,55,1080.0,1080.000878572464,True
mpc_decision_56@1100.0s,1,189,2,1780483578.059836,mpc_replay_1780482474_94c367ac,56,1100.0,1101.9935355186462,True
mpc_decision_57@1120.0s,1,203,2,1780483598.060553,mpc_replay_1780482474_94c367ac,57,1120.0,1121.9942519664764,True
mpc_decision_58@1140.0s,1,183,2,1780483616.060373,mpc_replay_1780482474_94c367ac,58,1140.0,1140.0060713291168,True
mpc_decision_59@1160.0s,1,183,2,1780483636.0572212,mpc_replay_1780482474_94c367ac,59,1160.0,1160.0002226829529,False
mpc_decision_60@1180.0s,1,183,2,1780483658.0604277,mpc_replay_1780482474_94c367ac,60,1180.0,1181.9921016693115,False
