rank,candidate_id,kp,ki,kd,score,valid,invalid_reason,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,p90_abs_error_full,max_abs_error_full,min_temp,max_temp,end_temp,control_abs_mean
1,341,6.0,886.0,7.0,7.0797041398453056,True,,0.46914336856710764,0.46914336856710764,0.013816028548564811,0.8296931928998674,0.424906572632519,0.44240128975798143,0.44240128975798143,474.0,508.0,6.933771825949625,25.417288414330688,27.138157583773136,-0.8296931928998674,27.138157583773136,-0.44240128975798143,43.440141180366055
2,394,6.0,936.0,17.0,7.135989525221479,True,,0.47334595696144266,0.47334595696144266,0.03886534864384438,0.8031875960227808,0.43394633331905047,0.40674473740409667,0.40674473740409667,494.0,528.0,7.577648627441674,26.45089104169747,27.252738567010965,-0.8031875960227808,27.252738567010965,-0.40674473740409667,44.43006333178652
3,41,6.0,943.0,18.0,7.2890808965759195,True,,0.49088287089971766,0.49088287089971766,0.042216018071076986,0.8140070553563419,0.4441744181026121,0.4186634498037165,0.4186634498037165,498.0,532.0,7.719610313620796,26.56329352956527,27.2627165354279,-0.8140070553563419,27.2627165354279,-0.4186634498037165,44.952903198175875
4,293,6.0,843.0,18.0,8.16672043695708,True,,0.5568980126929259,0.5568980126929259,0.04754507470975047,0.9107200133148581,0.5048632504510426,0.47195471153827384,0.47195471153827384,480.0,512.0,7.384368968657703,26.206439001858236,27.261268513277173,-0.9107200133148581,27.261268513277173,-0.47195471153827384,44.78508891817539
5,611,6.0,654.0,6.0,8.252605099988992,True,,0.47472180935726904,0.47472180935726904,0.05518547263402419,1.091915609431453,0.4931989416374452,0.3729398381547071,0.3729398381547071,448.0,478.0,6.572376366313741,24.680749468819705,27.141848174796905,-1.091915609431453,27.141848174796905,-0.3729398381547071,43.55707034981869
6,374,7.0,943.0,17.0,8.255516640607112,True,,0.5422008961057218,0.5422008961057218,0.040913614252501035,0.9492257016245276,0.5064903281402348,0.47500850544747664,0.47500850544747664,492.0,526.0,7.431728465456908,26.083876515179874,27.188851803541183,-0.9492257016245276,27.188851803541183,-0.47500850544747664,43.17077383683768
7,483,7.0,946.0,12.0,8.362234278070915,True,,0.5342623575680946,0.5342623575680946,0.027951012099793577,0.9914208056798088,0.5104990523176576,0.48832855983346235,0.48832855983346235,482.0,516.0,7.110408905869226,25.593604684248568,27.140515115112066,-0.9914208056798088,27.140515115112066,-0.48832855983346235,42.77334553939324
8,854,6.0,756.0,17.0,8.572391507358793,True,,0.5631392428560189,0.5631392428560189,0.058095345489299614,0.9831025454332121,0.5319142763868394,0.45771347404661356,0.45771347404661356,466.0,498.0,7.1246568401707435,25.843574286508375,27.24633092241129,-0.9831025454332121,27.24633092241129,-0.45771347404661356,44.60656344385025
9,321,7.0,907.0,13.0,8.613303085073438,True,,0.5541982726419568,0.5541982726419568,0.030191495141519212,1.0184046926442534,0.527524430159013,0.5039107559641707,0.5039107559641707,480.0,514.0,7.1216675107427365,25.58573178574443,27.15286041609943,-1.0184046926442534,27.15286041609943,-0.5039107559641707,42.91580297261303
10,723,7.0,943.0,9.0,8.632027491358073,True,,0.5637876150420029,0.5637876150420029,0.02458220739127784,1.025237349960662,0.5267007159097404,0.5209338272034074,0.5209338272034074,478.0,512.0,7.013037258773547,25.32367980256677,27.115672007203102,-1.025237349960662,27.115672007203102,-0.5209338272034074,42.969400732130396
11,703,6.0,604.0,10.0,8.676986728604101,True,,0.45817838178019327,0.45817838178019327,0.07332203163799458,1.176046738459263,0.5214923589902413,0.33026052836794406,0.33026052836794406,450.0,482.0,6.631841725285922,24.804955520108344,27.183881437405944,-1.176046738459263,27.183881437405944,-0.33026052836794406,44.11531939938992
12,914,6.0,528.0,8.0,8.890384633028736,True,,0.39661128853777877,0.39661128853777877,0.08164147914023401,1.339559718966484,0.5202629866038843,0.2584066018980593,0.2584066018980593,442.0,472.0,6.481350561340861,24.466689192131167,27.167737739160657,-1.339559718966484,27.167737739160657,-0.2584066018980593,44.021884471136026
13,227,6.0,560.0,13.0,9.209605528986875,True,,0.44884060835697076,0.44884060835697076,0.08685069082970683,1.2798307389602996,0.5562982674899785,0.29739084478933364,0.29739084478933364,446.0,478.0,6.641396526741737,24.879677995666864,27.208350785076618,-1.2798307389602996,27.208350785076618,-0.29739084478933364,44.50146643673763
14,700,7.0,877.0,19.0,9.279984288013926,True,,0.6296228415677065,0.6296228415677065,0.04885839162849995,1.056095153267961,0.5757254355669165,0.5449751768537681,0.5449751768537681,484.0,518.0,7.431154512822055,26.054911909997465,27.208987085148692,-1.056095153267961,27.208987085148692,-0.5449751768537681,43.782920716347455
15,107,7.0,789.0,9.0,9.52743833091396,True,,0.60015043371018,0.60015043371018,0.03616809344227855,1.177418401632167,0.5829131527981567,0.530471038473479,0.530471038473479,460.0,492.0,6.783783438118408,24.864571714401247,27.12727852910757,-1.177418401632167,27.12727852910757,-0.530471038473479,42.959914568317345
16,175,6.0,321.0,6.0,9.663407149900967,True,,0.17747219674295395,0.17747219674295395,0.07146596267719096,1.92039549164474,0.5147007718790115,0.0728065394796431,0.0728065394796431,426.0,452.0,6.179814787110081,23.895813789591198,27.159239511936903,-1.92039549164474,27.159239511936903,-0.0728065394796431,43.89894034360284
17,948,7.0,746.0,7.0,9.803545329599698,True,,0.5986328561582452,0.5986328561582452,0.044046133081830495,1.2529418283311315,0.5970407500843519,0.5131964987895117,0.5131964987895117,450.0,482.0,6.6360254448857825,24.563048474863173,27.116633094847202,-1.2529418283311315,27.116633094847202,-0.5131964987895117,42.78927875659683
18,919,8.0,997.0,15.0,9.867550258423877,True,,0.6326309199666987,0.6326309199666987,0.04440451398104562,1.1695238689426333,0.6104956945433946,0.5614247962948866,0.5614247962948866,488.0,524.0,7.280869067066427,25.61262848339975,27.122381415218115,-1.1695238689426333,27.122381415218115,-0.5614247962948866,42.413609807506425
19,167,7.0,714.0,7.0,9.951120612432536,True,,0.5892178625221975,0.5892178625221975,0.05007953779833336,1.299974916561041,0.6042162777700852,0.49350074037647573,0.49350074037647573,448.0,478.0,6.593768376731944,24.465678624063735,27.11970914900303,-1.299974916561041,27.11970914900303,-0.49350074037647573,42.80382751446886
20,667,8.0,958.0,18.0,10.011798414518605,True,,0.6534823992556837,0.6534823992556837,0.05079727612906385,1.1701807661447674,0.6214448256673245,0.572215176471218,0.572215176471218,492.0,526.0,7.412660804574019,25.814241346716884,27.147334672510624,-1.1701807661447674,27.147334672510624,-0.572215176471218,42.61962842784602
21,98,6.0,260.0,18.0,10.118763306437305,True,,0.05130776829457848,0.05130776829457848,0.0410980483460715,1.930309446528554,0.5756373101386983,0.0038290390511974692,0.0038290390511974692,428.0,456.0,6.27616166957004,24.439609011635188,27.24400627426803,-1.930309446528554,27.24400627426803,-0.0038290390511974692,44.781831990917325
22,877,6.0,254.0,8.0,10.133219482374798,True,,0.09925865256944548,0.09925865256944548,0.05075432136258107,2.1375186387449503,0.529216022299289,0.03077233728254214,0.03077233728254214,426.0,450.0,6.13013868342047,23.84400924108923,27.17264430038631,-2.1375186387449503,27.17264430038631,-0.03077233728254214,44.2479416897728
23,216,8.0,952.0,12.0,10.472107505876703,True,,0.6776850212385915,0.6776850212385915,0.03926041194999224,1.253109827863227,0.6482538410066516,0.61206842574029,0.61206842574029,480.0,514.0,7.097693391360614,25.220079009549227,27.105083879083395,-1.253109827863227,27.105083879083395,-0.61206842574029,42.550317201758105
24,946,7.0,568.0,7.0,10.580402735272832,True,,0.4991548359324687,0.4991548359324687,0.08177245979135377,1.5840370730147697,0.6256859340814616,0.35885636520106345,0.35885636520106345,436.0,466.0,6.409385724784321,24.04784395284951,27.130949407815933,-1.5840370730147697,27.130949407815933,-0.35885636520106345,42.891313554257536
25,643,7.0,475.0,5.0,10.727019728953726,True,,0.40553407012334025,0.40553407012334025,0.09105754422949755,1.7842849846929312,0.6155904453698152,0.25496492726324504,0.25496492726324504,424.0,452.0,6.216625360456887,23.752145669609313,27.12235391512513,-1.7842849846929312,27.12235391512513,-0.25496492726324504,42.49140690508012
