rank,candidate_id,step,elapsed_s,temp,temp_ref,error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta
1,341,1,2.0,26.890119090676308,0.0,-26.890119090676308,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.0,0.0,-0.10988090932369232
1,341,2,4.0,26.83951612189412,0.0,-26.83951612189412,6.0,886.0,7.0,-100.0,-100.0,0.0,0.5827436809834339,-0.004994945837000862,-0.05060296878218651
1,341,3,6.0,26.804348159581423,0.0,-26.804348159581423,6.0,886.0,7.0,-100.0,-100.0,0.0,0.7955244090155321,-0.006818780648704561,-0.035167962312698364
1,341,4,8.0,26.909297954291105,0.0,-26.909297954291105,6.0,886.0,7.0,-100.0,-100.0,0.0,0.906149894381236,-0.00776699909469631,0.10494979470968246
1,341,5,10.0,26.93099867925048,0.0,-26.93099867925048,6.0,886.0,7.0,-100.0,-100.0,0.0,0.2631207402530348,-0.002255320630740298,0.021700724959373474
1,341,6,12.0,27.00830828025937,0.0,-27.00830828025937,6.0,886.0,7.0,-100.0,-100.0,0.0,0.12293390434062484,-0.0010537191800624988,0.07730960100889206
1,341,7,14.0,27.02349542453885,0.0,-27.02349542453885,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.29879733080553483,0.0025611199783331555,0.01518714427947998
1,341,8,16.0,27.079551625996828,0.0,-27.079551625996828,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.35083887294204014,0.0030071903395032015,0.056056201457977295
1,341,9,18.0,27.084865145385265,0.0,-27.084865145385265,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.6146616262614071,0.005268528225097775,0.005313519388437271
1,341,10,20.0,27.12330475449562,0.0,-27.12330475449562,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.5842091289064302,0.0050075068191979735,0.03843960911035538
1,341,11,22.0,27.117015331983566,0.0,-27.117015331983566,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.7323427666877378,0.006277223714466325,-0.006289422512054443
1,341,12,24.0,27.138157583773136,0.0,-27.138157583773136,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.6291295460573644,0.00539253896620598,0.021142251789569855
1,341,13,26.0,27.121413365006447,0.0,-27.121413365006447,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.6812432426381486,0.0058392277940412735,-0.0167442187666893
1,341,14,28.0,27.1301150880754,0.0,-27.1301150880754,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.527458294107314,0.0045210710923484065,0.00870172306895256
1,341,15,30.0,27.10446584969759,0.0,-27.10446584969759,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.5232931191763044,0.0044853695929397515,-0.025649238377809525
1,341,16,32.0,27.104880407394376,0.0,-27.104880407394376,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.3373479734190963,0.002891554057877968,0.0004145576967857778
1,341,17,34.0,27.075937639863696,0.0,-27.075937639863696,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.3073670823216011,0.0026345749913280095,-0.028942767530679703
1,341,18,36.0,27.068635165633168,0.0,-27.068635165633168,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.12455207704595553,0.001067589231822476,-0.007302474230527878
1,341,19,38.0,27.036927714885678,0.0,-27.036927714885678,6.0,886.0,7.0,-100.0,-100.0,0.0,-0.07394308823398758,0.0006337978991484651,-0.03170745074748993
1,341,20,40.0,27.02367699512979,0.0,-27.02367699512979,6.0,886.0,7.0,-100.0,-100.0,0.0,0.10126796719074843,-0.0008680111473492725,-0.013250719755887985
1,341,21,42.0,26.98981272423407,0.0,-26.98981272423407,6.0,886.0,7.0,-100.0,-100.0,0.0,0.16188208431667908,-0.0013875607227143924,-0.03386427089571953
1,341,22,44.0,26.972306642623153,0.0,-26.972306642623153,6.0,886.0,7.0,-100.0,-100.0,0.0,0.32603639462606165,-0.0027945976682233857,-0.017506081610918045
1,341,23,46.0,26.937594786228146,0.0,-26.937594786228146,6.0,886.0,7.0,-100.0,-100.0,0.0,0.3877778945183418,-0.00332381052444293,-0.03471185639500618
1,341,24,48.0,26.916970653401222,0.0,-26.916970653401222,6.0,886.0,7.0,-100.0,-100.0,0.0,0.5348792066907128,-0.004584678914491823,-0.020624132826924324
1,341,25,50.0,26.88301262067398,0.0,-26.88301262067398,6.0,886.0,7.0,-100.0,-100.0,0.0,0.5932355997993558,-0.005084876569708765,-0.033958032727241516
1,341,26,52.0,26.860508326382842,0.0,-26.860508326382842,6.0,886.0,7.0,-100.0,-100.0,0.0,0.7167405630129733,-0.0061434905401112,-0.02250429429113865
1,341,27,54.0,26.82780230412027,0.0,-26.82780230412027,6.0,886.0,7.0,-100.0,-100.0,0.0,0.7677205586652931,-0.006580461931416799,-0.03270602226257324
1,341,28,56.0,26.804238833428826,0.0,-26.804238833428826,6.0,886.0,7.0,-100.0,-100.0,0.0,0.8679415587245195,-0.007439499074781596,-0.02356347069144249
1,341,29,58.0,26.772744949848857,0.0,-26.772744949848857,6.0,886.0,7.0,-100.0,-100.0,0.0,0.9101158123432457,-0.007800992677227821,-0.031493883579969406
1,341,30,60.0,26.74839975120267,0.0,-26.74839975120267,6.0,886.0,7.0,-100.0,-100.0,0.0,0.9903253272826493,-0.008488502805279852,-0.024345198646187782
1,341,31,62.0,26.71764633053681,0.0,-26.71764633053681,6.0,886.0,7.0,-100.0,-100.0,0.0,1.0249712770417463,-0.008785468088929256,-0.030753420665860176
