metric,baseline,ai_advisor,improvement_percent
tail_mae,0.4932409173154387,0.17257925510406494,65.01116410954677
overshoot,1.1020708177326903,0.2146410942077636,80.52383832743631
cost,12.638841790295444,0.6332872483311254,94.98935694552813
