epoch,train_loss,train_eval_loss,val_loss,train_mae_delta_t1,train_rmse_delta_t1,train_bias_delta_t1,val_mae_delta_t1,val_rmse_delta_t1,val_bias_delta_t1
1,0.3200590015668195,0.30227561774387485,0.3136534207319253,0.03296422213315964,0.05349058285355568,0.0023824276868253946,0.033664554357528687,0.1274322271347046,0.003064876887947321
2,0.30312373420748645,0.2662500439863879,0.28904930189026884,0.029406225308775902,0.050852734595537186,0.000175307912286371,0.031192615628242493,0.1268119066953659,0.002063348423689604
3,0.26468759660164964,0.24379063565299144,0.2676209710388376,0.027805311605334282,0.049012817442417145,0.0016900214832276106,0.02987951785326004,0.12706005573272705,0.0016140267252922058
4,0.23907003606798977,0.22481828572109014,0.2502640140486644,0.026106063276529312,0.04723748564720154,-0.0036311226431280375,0.028331121429800987,0.12644994258880615,-0.002743334975093603
5,0.23024208904232657,0.21671374740153188,0.24057245767056543,0.02510814182460308,0.04672173410654068,0.0011926933657377958,0.027149131521582603,0.12619009613990784,0.0024750647135078907
6,0.2235470406414531,0.2134693535748388,0.23511128596361452,0.025056682527065277,0.046361811459064484,0.005503087770193815,0.027027415111660957,0.1257646381855011,0.006607799790799618
7,0.21985523685946104,0.20714005915664446,0.23128570381226957,0.024511391296982765,0.04540551081299782,-0.00224824296310544,0.026722053065896034,0.1252979338169098,-0.001507901237346232
8,0.2154670894073336,0.22117456096541485,0.24716393044530946,0.02604661136865616,0.046679455786943436,0.010481241159141064,0.028394168242812157,0.12552452087402344,0.013578572310507298
9,0.21343086559437427,0.1982786267584267,0.22239397713701997,0.023603983223438263,0.044898442924022675,0.0015774688217788935,0.025721903890371323,0.1248701736330986,0.003116805339232087
10,0.21029147884039062,0.1965932708496877,0.2198241259277667,0.023531340062618256,0.044694215059280396,0.0011641918681561947,0.025579432025551796,0.12438192963600159,0.0025841747410595417
11,0.20747176286023772,0.19859882418722954,0.22401229953455845,0.023795202374458313,0.04456951096653938,0.0027513413224369287,0.026079824194312096,0.1245565339922905,0.006346369627863169
12,0.20550314822422597,0.1937023959176314,0.21423029577072034,0.023264307528734207,0.04421770200133324,0.001409930526278913,0.02509397640824318,0.12412159144878387,0.003044035518541932
13,0.20235313299005347,0.1889487883419549,0.21332928824594757,0.0227231215685606,0.043846048414707184,-0.0025144906248897314,0.024923792108893394,0.12439948320388794,0.0006987191736698151
14,0.20132462109592655,0.18652882193352127,0.21194782555603342,0.022504102438688278,0.04376271739602089,0.003675243118777871,0.024747498333454132,0.12441322952508926,0.005530097056180239
15,0.19868411308352682,0.18790009623252696,0.21568943347606884,0.022630872204899788,0.043761178851127625,0.001747051370330155,0.025139303877949715,0.12374264001846313,0.003687901422381401
