run_id,end_idx,next_idx,elapsed_s,next_elapsed_s,dt_to_next_s,n_pid_substeps,pid_period_s,control_mode,pid_substep_temp_mode,temp_ref,kp,ki,kd,pid_selector_idx,real_temp_t,pred_temp_t,real_temp_t1,pred_temp_t1,prediction_temp_t1,real_delta_t1,pred_delta_t1,prediction_delta_t1,error_temp_t1,abs_error_temp_t1,prediction_error_temp_t1,prediction_abs_error_temp_t1,error_delta_t1,abs_error_delta_t1,prediction_error_delta_t1,prediction_abs_error_delta_t1,u,u_p,u_i,u_d,u_norm,u_p_norm,u_i_norm,u_d_norm,diff_out,diff_filter_out,diff_prev_value,pid_i_state,pid_d_state
run_1778846308_79d0fbfa,59,60,139.23501181602478,142.63024616241455,3.3952343463897705,34,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,25.01659393310547,25.01659393310547,24.927698135375977,24.87391124665737,24.960731342434883,-0.08889579772949219,-0.14268268644809723,-0.05586259067058563,-0.05378688871860504,0.05378688871860504,0.033033207058906555,0.033033207058906555,-0.05378688871860504,0.05378688871860504,0.033033207058906555,0.033033207058906555,-100.0,-100.0,0.0,-0.0,-1.0,-1.0,0.0,-0.0,0.0,0.0,25.01659393310547,0.0,-0.0
run_1778846308_79d0fbfa,60,61,142.63024616241455,144.29361605644226,1.66336989402771,17,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.927698135375977,24.87391124665737,24.838809967041016,24.81709934771061,24.81050632894039,-0.08888816833496094,-0.056811898946762085,-0.11719180643558502,-0.02171061933040619,0.02171061933040619,-0.028303638100624084,0.028303638100624084,0.03207626938819885,0.03207626938819885,-0.028303638100624084,0.028303638100624084,-100.0,-100.0,0.0,0.09406163726800428,-1.0,-1.0,0.0,0.0009406163726800428,-0.0065843146087603,-0.00065843146087603,24.87391124665737,0.0,0.0009406163726800428
run_1778846308_79d0fbfa,61,62,144.29361605644226,146.65997338294983,2.3663573265075684,24,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.838809967041016,24.81709934771061,24.74992179870605,24.70977795124054,24.759893871843815,-0.08888816833496449,-0.10732139647006989,-0.07891609519720078,-0.040143847465511584,0.040143847465511584,0.009972073137763715,0.009972073137763715,-0.018433228135105395,0.018433228135105395,0.009972073137763715,0.009972073137763715,-100.0,-100.0,0.0,0.11956122204969793,-1.0,-1.0,0.0,0.0011956122204969794,-0.008369285543478856,-0.0008369285543478856,24.81709934771061,0.0,0.0011956122204969794
run_1778846308_79d0fbfa,62,63,146.65997338294983,148.0449252128601,1.3849518299102783,14,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.74992179870605,24.70977795124054,24.661008834838867,24.666295900940895,24.626099959015843,-0.08891296386718395,-0.04348205029964447,-0.12382183969020844,0.005287066102027893,0.005287066102027893,-0.03490887582302449,0.03490887582302449,0.04543091356753948,0.04543091356753948,-0.03490887582302449,0.03490887582302449,-100.0,-100.0,0.0,0.18328071031826124,-1.0,-1.0,0.0,0.0018328071031826123,-0.012829649722278286,-0.0012829649722278286,24.70977795124054,0.0,0.0018328071031826123
run_1778846308_79d0fbfa,63,64,148.0449252128601,150.45632433891296,2.4113991260528564,24,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.661008834838867,24.666295900940895,24.527645111083984,24.53700762987137,24.567399688065052,-0.1333637237548828,-0.12928827106952667,-0.09360914677381516,0.009362518787384033,0.009362518787384033,0.03975457698106766,0.03975457698106766,0.00407545268535614,0.00407545268535614,0.03975457698106766,0.03975457698106766,-100.0,-100.0,0.0,0.1901830914865051,-1.0,-1.0,0.0,0.001901830914865051,-0.013312816404055359,-0.0013312816404055358,24.666295900940895,0.0,0.001901830914865051
run_1778846308_79d0fbfa,64,65,150.45632433891296,153.18134450912476,2.725020170211792,27,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.527645111083984,24.53700762987137,24.394285202026367,24.468728110194206,24.434757106006145,-0.1333599090576172,-0.06827951967716217,-0.0928880050778389,0.07444290816783905,0.07444290816783905,0.04047190397977829,0.04047190397977829,0.06508038938045502,0.06508038938045502,0.04047190397977829,0.04047190397977829,-100.0,-100.0,0.0,0.2471743242169922,-1.0,-1.0,0.0,0.002471743242169922,-0.017302202695189454,-0.0017302202695189453,24.53700762987137,0.0,0.002471743242169922
run_1778846308_79d0fbfa,65,66,153.18134450912476,155.03206253051758,1.8507180213928223,19,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.394285202026367,24.468728110194206,24.260963439941406,24.329755052924156,24.282120145857334,-0.13332176208496094,-0.13897305727005005,-0.11216505616903305,0.06879161298274994,0.06879161298274994,0.021156705915927887,0.021156705915927887,-0.005651295185089111,0.005651295185089111,0.021156705915927887,0.021156705915927887,-100.0,-100.0,0.0,0.2692834390886016,-1.0,-1.0,0.0,0.0026928343908860157,-0.01884984073620211,-0.001884984073620211,24.468728110194206,0.0,0.0026928343908860157
run_1778846308_79d0fbfa,66,67,155.03206253051758,157.0364351272583,2.0043725967407227,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.260963439941406,24.329755052924156,24.172046661376957,24.262626342475414,24.155067302286625,-0.08891677856444957,-0.06712871044874191,-0.10589613765478134,0.0905796810984576,0.0905796810984576,-0.01697935909033177,0.01697935909033177,0.02178806811570766,0.02178806811570766,-0.01697935909033177,0.01697935909033177,-100.0,-100.0,0.0,0.33384535345560756,-1.0,-1.0,0.0,0.0033384535345560755,-0.02336917474189253,-0.002336917474189253,24.329755052924156,0.0,0.0033384535345560755
run_1778846308_79d0fbfa,67,68,157.0364351272583,159.08123183250427,2.0447967052459717,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.172046661376957,24.262626342475414,24.127613067626957,24.11578855663538,24.020518571138386,-0.04443359375,-0.14683778584003448,-0.15152809023857117,-0.011824510991576886,0.011824510991576886,-0.10709449648857117,0.10709449648857117,-0.10240419209003448,0.10240419209003448,-0.10709449648857117,0.10709449648857117,-100.0,-100.0,0.0,0.34559321083866545,-1.0,-1.0,0.0,0.0034559321083866544,-0.024191524758706583,-0.0024191524758706584,24.262626342475414,0.0,0.0034559321083866544
run_1778846308_79d0fbfa,68,69,159.08123183250427,161.03130054473877,1.950068712234497,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,24.127613067626957,24.11578855663538,23.90539932250977,24.037255346775055,23.975536897778515,-0.2222137451171875,-0.07853320986032486,-0.15207616984844208,0.13185602426528575,0.13185602426528575,0.07013757526874542,0.07013757526874542,0.14368053525686264,0.14368053525686264,0.07013757526874542,0.07013757526874542,-100.0,-100.0,0.0,0.40798330646025655,-1.0,-1.0,0.0,0.004079833064602565,-0.02855883145221796,-0.002855883145221796,24.11578855663538,0.0,0.004079833064602565
run_1778846308_79d0fbfa,69,70,161.03130054473877,164.04760670661926,3.016306161880493,30,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.90539932250977,24.037255346775055,23.816524505615234,23.877070382237434,23.833193287253383,-0.0888748168945348,-0.16018496453762054,-0.0722060352563858,0.06054587662220001,0.06054587662220001,0.016668781638149,0.016668781638149,-0.07131014764308574,0.07131014764308574,0.016668781638149,0.016668781638149,-100.0,-100.0,0.0,0.3995282972095689,-1.0,-1.0,0.0,0.003995282972095689,-0.027966980804669826,-0.0027966980804669827,24.037255346775055,0.0,0.003995282972095689
run_1778846308_79d0fbfa,70,71,164.04760670661926,166.1605305671692,2.1129238605499268,21,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.816524505615234,23.877070382237434,23.638790130615234,23.800778195261955,23.65649712085724,-0.177734375,-0.07629218697547913,-0.1600273847579956,0.1619880646467209,0.1619880646467209,0.017706990242004395,0.017706990242004395,0.10144218802452087,0.10144218802452087,0.017706990242004395,0.017706990242004395,-100.0,-100.0,0.0,0.46311396718590203,-1.0,-1.0,0.0,0.00463113967185902,-0.03241797770301314,-0.0032417977703013143,23.877070382237434,0.0,0.00463113967185902
run_1778846308_79d0fbfa,71,72,166.1605305671692,168.02791690826416,1.8673863410949707,19,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.638790130615234,23.800778195261955,23.549909591674805,23.64090768992901,23.56146176159382,-0.08888053894042969,-0.15987050533294678,-0.07732836902141571,0.0909980982542038,0.0909980982542038,0.011552169919013977,0.011552169919013977,-0.07098996639251709,0.07098996639251709,0.011552169919013977,0.011552169919013977,-100.0,-100.0,0.0,0.4708358701275472,-1.0,-1.0,0.0,0.004708358701275472,-0.032958510908928304,-0.0032958510908928304,23.800778195261955,0.0,0.004708358701275472
run_1778846308_79d0fbfa,72,73,168.02791690826416,170.0287265777588,2.000809669494629,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.549909591674805,23.64090768992901,23.416608810424805,23.563113056123257,23.374664843082428,-0.13330078125,-0.0777946338057518,-0.1752447485923767,0.146504245698452,0.146504245698452,-0.04194396734237671,0.04194396734237671,0.0555061474442482,0.0555061474442482,-0.04194396734237671,0.04194396734237671,-100.0,-100.0,0.0,0.5297425418678922,-1.0,-1.0,0.0,0.005297425418678921,-0.03708197793075245,-0.0037081977930752447,23.64090768992901,0.0,0.005297425418678921
run_1778846308_79d0fbfa,73,74,170.0287265777588,172.0312991142273,2.002572536468506,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.416608810424805,23.563113056123257,23.327735900878903,23.396534703671932,23.311486162245274,-0.08887290954590199,-0.16657835245132446,-0.1051226481795311,0.06879880279302952,0.06879880279302952,-0.016249738633629107,0.016249738633629107,-0.07770544290542247,0.07770544290542247,-0.016249738633629107,0.016249738633629107,-100.0,-100.0,0.0,0.5297302826795958,-1.0,-1.0,0.0,0.0052973028267959575,-0.037081119787571705,-0.0037081119787571704,23.563113056123257,0.0,0.0052973028267959575
run_1778846308_79d0fbfa,74,75,172.0312991142273,174.02826690673828,1.9969677925109863,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.327735900878903,23.396534703671932,23.14999771118164,23.315369091928005,23.148291096091267,-0.17773818969726207,-0.081165611743927,-0.1794448047876358,0.1653713807463646,0.1653713807463646,-0.001706615090373731,0.001706615090373731,0.09657257795333507,0.09657257795333507,-0.001706615090373731,0.001706615090373731,-100.0,-100.0,0.0,0.5873751026988148,-1.0,-1.0,0.0,0.005873751026988148,-0.04111625718891704,-0.004111625718891704,23.396534703671932,0.0,0.005873751026988148
run_1778846308_79d0fbfa,75,76,174.02826690673828,176.03477263450623,2.0065057277679443,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.14999771118164,23.315369091928005,23.061176300048828,23.144759230315685,23.06245417892933,-0.0888214111328125,-0.17060986161231995,-0.0875435322523117,0.08358293026685715,0.08358293026685715,0.0012778788805007935,0.0012778788805007935,-0.08178845047950745,0.08178845047950745,0.0012778788805007935,0.0012778788805007935,-100.0,-100.0,0.0,0.5840544052838472,-1.0,-1.0,0.0,0.005840544052838473,-0.04088380836986931,-0.004088380836986931,23.315369091928005,0.0,0.005840544052838473
run_1778846308_79d0fbfa,76,77,176.03477263450623,178.0292866230011,1.994513988494873,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,23.061176300048828,23.144759230315685,22.927886962890625,23.062425047159195,22.881788030266762,-0.13328933715820312,-0.08233418315649033,-0.17938826978206635,0.13453808426856995,0.13453808426856995,-0.04609893262386322,0.04609893262386322,0.0509551540017128,0.0509551540017128,-0.04609893262386322,0.04609893262386322,-100.0,-100.0,0.0,0.6391353246221629,-1.0,-1.0,0.0,0.00639135324622163,-0.04473947272355141,-0.004473947272355141,23.144759230315685,0.0,0.00639135324622163
run_1778846308_79d0fbfa,77,78,178.0292866230011,180.031099319458,2.001812696456909,20,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,22.927886962890625,23.062425047159195,22.83904266357422,22.887353613972664,22.815896905958652,-0.08884429931640625,-0.17507143318653107,-0.1119900569319725,0.04831095039844513,0.04831095039844513,-0.023145757615566254,0.023145757615566254,-0.08622713387012482,0.08622713387012482,-0.023145757615566254,0.023145757615566254,-100.0,-100.0,0.0,0.631636111651933,-1.0,-1.0,0.0,0.00631636111651933,-0.04421452781563531,-0.004421452781563531,23.062425047159195,0.0,0.00631636111651933
run_1778846308_79d0fbfa,78,79,180.031099319458,183.30299711227417,3.271897792816162,33,0.1,pid_substep,hold,0.0,7.0,966.0,1.0,,22.83904266357422,22.887353613972664,22.572484970092773,22.793614603579044,22.654144674539566,-0.2665576934814453,-0.09373901039361954,-0.1848979890346527,0.2211296334862709,0.2211296334862709,0.0816597044467926,0.0816597044467926,0.17281868308782578,0.17281868308782578,0.0816597044467926,0.0816597044467926,-100.0,-100.0,0.0,0.6418573649599304,-1.0,-1.0,0.0,0.006418573649599304,-0.04493001554719513,-0.004493001554719513,22.887353613972664,0.0,0.006418573649599304
