"run_id","timestamp","kp","ki","kd","temp","temp_ref","temp_raw","temp_u","temp_u_p","temp_u_i","temp_u_d","sq_error","mae"
"run_1775514024_8a045a38","1775514025.4613824","5.0","981.0","11.0","24.57208251953125","0.0","21.143592834472656","-100.0","-100.0","0.0","2.975691318511963","603.7872393466532","24.57208251953125"
"run_1775514024_8a045a38","1775514027.9871874","5.0","981.0","11.0","24.57208251953125","0.0","21.093599319458008","-100.0","-100.0","0.0","3.166170120239258","603.7872393466532","24.57208251953125"
"run_1775514024_8a045a38","1775514030.4966097","5.0","981.0","11.0","24.483177185058594","0.0","21.0435733795166","-100.0","-100.0","0.0","3.1666107177734375","599.4259650749736","24.483177185058594"
"run_1775514024_8a045a38","1775514033.01146","5.0","981.0","11.0","24.438722610473633","0.0","20.943571090698242","-100.0","-100.0","0.0","3.804673671722412","597.2511628316752","24.438722610473633"
"run_1775514024_8a045a38","1775514035.5425777","5.0","981.0","11.0","24.34983253479004","0.0","20.89356231689453","-100.0","-100.0","0.0","3.720273494720459","592.9143444723195","24.34983253479004"
"run_1775514024_8a045a38","1775514038.0590925","5.0","981.0","11.0","24.305397033691406","0.0","20.843570709228516","-100.0","-100.0","0.0","3.643028736114502","590.752324965375","24.305397033691406"
"run_1775514024_8a045a38","1775514040.5667343","5.0","981.0","11.0","24.260963439941406","0.0","20.793582916259766","-100.0","-100.0","0.0","3.746622323989868","588.5943470341736","24.260963439941406"
"run_1775514024_8a045a38","1775514043.068607","5.0","981.0","11.0","24.260963439941406","0.0","20.74357795715332","-100.0","-100.0","0.0","4.144942760467529","588.5943470341736","24.260963439941406"
"run_1775514024_8a045a38","1775514045.5829706","5.0","981.0","11.0","24.172046661376953","0.0","20.693553924560547","-100.0","-100.0","0.0","3.749559164047241","584.2878397997847","24.172046661376953"
"run_1775514024_8a045a38","1775514048.08606","5.0","981.0","11.0","24.172046661376953","0.0","20.643566131591797","-100.0","-100.0","0.0","3.686298131942749","584.2878397997847","24.172046661376953"
"run_1775514024_8a045a38","1775514050.6085935","5.0","981.0","11.0","24.127613067626953","0.0","20.643566131591797","-100.0","-100.0","0.0","3.804342031478882","582.1417123411229","24.127613067626953"
"run_1775514024_8a045a38","1775514053.1489155","5.0","981.0","11.0","24.083168029785156","0.0","20.543577194213867","-100.0","-100.0","0.0","3.738070011138916","579.9989823508658","24.083168029785156"
"run_1775514024_8a045a38","1775514055.668656","5.0","981.0","11.0","24.038734436035156","0.0","20.543577194213867","-100.0","-100.0","0.0","3.8655362129211426","577.8607532862225","24.038734436035156"
"run_1775514024_8a045a38","1775514058.174897","5.0","981.0","11.0","23.994287490844727","0.0","20.493574142456055","-100.0","-100.0","0.0","3.3258466720581055","575.7258321933077","23.994287490844727"
"run_1775514024_8a045a38","1775514060.737418","5.0","981.0","11.0","23.949857711791992","0.0","20.44359016418457","-100.0","-100.0","0.0","3.4687931537628174","573.5956844150824","23.949857711791992"
