"run_id","timestamp","kp","ki","kd","temp","temp_ref","temp_raw","temp_u","temp_u_p","temp_u_i","temp_u_d","sq_error","mae"
"run_1775516417_180b6a6a","1775516418.731826","6.0","997.0","16.0","26.350648880004883","0.0","23.144479751586914","-100.0","-100.0","0.0","2.2643911838531494","694.3566963973026","26.350648880004883"
"run_1775516417_180b6a6a","1775516421.2315397","6.0","997.0","16.0","26.350648880004883","0.0","23.09445571899414","-100.0","-100.0","0.0","2.404223918914795","694.3566963973026","26.350648880004883"
"run_1775516417_180b6a6a","1775516423.7401183","6.0","997.0","16.0","26.306182861328125","0.0","23.09445571899414","-100.0","-100.0","0.0","2.6495401859283447","692.0152567336336","26.306182861328125"
"run_1775516417_180b6a6a","1775516426.2518752","6.0","997.0","16.0","26.261714935302734","0.0","23.044429779052734","-100.0","-100.0","0.0","2.279623031616211","689.6776713431027","26.261714935302734"
"run_1775516417_180b6a6a","1775516428.756129","6.0","997.0","16.0","26.21722412109375","0.0","22.99437713623047","-100.0","-100.0","0.0","2.513852596282959","687.34284061566","26.21722412109375"
"run_1775516417_180b6a6a","1775516431.2827067","6.0","997.0","16.0","26.21722412109375","0.0","22.944320678710938","-100.0","-100.0","0.0","2.610092878341675","687.34284061566","26.21722412109375"
"run_1775516417_180b6a6a","1775516433.792648","6.0","997.0","16.0","26.128292083740234","0.0","22.894329071044922","-100.0","-100.0","0.0","2.8260304927825928","682.6876472132426","26.128292083740234"
"run_1775516417_180b6a6a","1775516436.2958822","6.0","997.0","16.0","26.083799362182617","0.0","22.844274520874023","-100.0","-100.0","0.0","2.8831729888916016","680.3645891665983","26.083799362182617"
"run_1775516417_180b6a6a","1775516438.8012307","6.0","997.0","16.0","26.083799362182617","0.0","22.844274520874023","-100.0","-100.0","0.0","3.0779881477355957","680.3645891665983","26.083799362182617"
"run_1775516417_180b6a6a","1775516441.3051674","6.0","997.0","16.0","26.039339065551758","0.0","22.79425621032715","-100.0","-100.0","0.0","2.6482532024383545","678.0471789707699","26.039339065551758"
"run_1775516417_180b6a6a","1775516443.810224","6.0","997.0","16.0","25.994848251342773","0.0","22.744203567504883","-100.0","-100.0","0.0","2.84281325340271","675.7321356103384","25.994848251342773"
"run_1775516417_180b6a6a","1775516446.3159294","6.0","997.0","16.0","25.950355529785156","0.0","22.694150924682617","-100.0","-100.0","0.0","2.888645887374878","673.420952122251","25.950355529785156"
"run_1775516417_180b6a6a","1775516448.8200073","6.0","997.0","16.0","25.905921936035156","0.0","22.644163131713867","-100.0","-100.0","0.0","3.064199447631836","671.1167913559475","25.905921936035156"
"run_1775516417_180b6a6a","1775516451.330317","6.0","997.0","16.0","25.905921936035156","0.0","22.644163131713867","-100.0","-100.0","0.0","3.111267566680908","671.1167913559475","25.905921936035156"
"run_1775516417_180b6a6a","1775516453.8447466","6.0","997.0","16.0","25.861433029174805","0.0","22.594112396240234","-100.0","-100.0","0.0","2.814485788345337","668.8137183224935","25.861433029174805"
"run_1775516417_180b6a6a","1775516456.3889613","6.0","997.0","16.0","25.81697654724121","0.0","22.544097900390625","-100.0","-100.0","0.0","2.8820130825042725","666.5162780408027","25.81697654724121"
"run_1775516417_180b6a6a","1775516458.9031453","6.0","997.0","16.0","25.81697654724121","0.0","22.494049072265625","-100.0","-100.0","0.0","3.0772411823272705","666.5162780408027","25.81697654724121"
"run_1775516417_180b6a6a","1775516461.409238","6.0","997.0","16.0","25.77248764038086","0.0","22.494049072265625","-100.0","-100.0","0.0","2.6476097106933594","664.2211191735842","25.77248764038086"
"run_1775516417_180b6a6a","1775516463.923562","6.0","997.0","16.0","25.728031158447266","0.0","22.444034576416016","-100.0","-100.0","0.0","2.841886043548584","661.9315872900333","25.728031158447266"
"run_1775516417_180b6a6a","1775516466.4446578","6.0","997.0","16.0","25.683574676513672","0.0","22.39402198791504","-100.0","-100.0","0.0","2.8874878883361816","659.6460081640544","25.683574676513672"
"run_1775516417_180b6a6a","1775516468.9692237","6.0","997.0","16.0","25.683574676513672","0.0","22.343971252441406","-100.0","-100.0","0.0","3.1014294624328613","659.6460081640544","25.683574676513672"
"run_1775516417_180b6a6a","1775516471.4739845","6.0","997.0","16.0","25.63908576965332","0.0","22.343971252441406","-100.0","-100.0","0.0","2.668421506881714","657.3627191036394","25.63908576965332"
"run_1775516417_180b6a6a","1775516473.9768646","6.0","997.0","16.0","25.59463119506836","0.0","22.293960571289062","-100.0","-100.0","0.0","2.8789753913879395","655.0851460115664","25.59463119506836"
"run_1775516417_180b6a6a","1775516476.5053883","6.0","997.0","16.0","25.59463119506836","0.0","22.293960571289062","-100.0","-100.0","0.0","2.9660041332244873","655.0851460115664","25.59463119506836"
"run_1775516417_180b6a6a","1775516479.0156472","6.0","997.0","16.0","25.55017852783203","0.0","22.24394989013672","-100.0","-100.0","0.0","3.0366687774658203","652.811622804089","25.55017852783203"
"run_1775516417_180b6a6a","1775516481.5210245","6.0","997.0","16.0","25.505664825439453","0.0","22.193872451782227","-100.0","-100.0","0.0","2.7470028400421143","650.5389381876594","25.505664825439453"
"run_1775516417_180b6a6a","1775516484.015865","6.0","997.0","16.0","25.505664825439453","0.0","22.193872451782227","-100.0","-100.0","0.0","2.852163076400757","650.5389381876594","25.505664825439453"
"run_1775516417_180b6a6a","1775516486.5367115","6.0","997.0","16.0","25.461238861083984","0.0","22.143892288208008","-100.0","-100.0","0.0","2.580097198486328","648.2746843411733","25.461238861083984"
"run_1775516417_180b6a6a","1775516489.0409126","6.0","997.0","16.0","25.461238861083984","0.0","22.093883514404297","-100.0","-100.0","0.0","2.684948444366455","648.2746843411733","25.461238861083984"
"run_1775516417_180b6a6a","1775516491.5460246","6.0","997.0","16.0","25.416786193847656","0.0","22.093883514404297","-100.0","-100.0","0.0","2.913266897201538","646.0130204237648","25.416786193847656"
"run_1775516417_180b6a6a","1775516494.0455058","6.0","997.0","16.0","25.372303009033203","0.0","22.043842315673828","-100.0","-100.0","0.0","2.5065293312072754","643.7537599821953","25.372303009033203"
"run_1775516417_180b6a6a","1775516496.5608969","6.0","997.0","16.0","25.372303009033203","0.0","22.043842315673828","-100.0","-100.0","0.0","2.7563695907592773","643.7537599821953","25.372303009033203"
"run_1775516417_180b6a6a","1775516499.075482","6.0","997.0","16.0","25.32785415649414","0.0","21.99383544921875","-100.0","-100.0","0.0","2.37153697013855","641.5001961726375","25.32785415649414"
"run_1775516417_180b6a6a","1775516501.5770228","6.0","997.0","16.0","25.283370971679688","0.0","21.94379234313965","-100.0","-100.0","0.0","2.6107091903686523","639.2488476915751","25.283370971679688"
"run_1775516417_180b6a6a","1775516504.0896366","6.0","997.0","16.0","25.283370971679688","0.0","21.94379234313965","-100.0","-100.0","0.0","2.73514986038208","639.2488476915751","25.283370971679688"
"run_1775516417_180b6a6a","1775516506.6114724","6.0","997.0","16.0","25.238922119140625","0.0","21.893787384033203","-100.0","-100.0","0.0","2.474246025085449","637.0031897360459","25.238922119140625"
"run_1775516417_180b6a6a","1775516509.112657","6.0","997.0","16.0","25.194469451904297","0.0","21.843778610229492","-100.0","-100.0","0.0","2.566725492477417","634.7612909629388","25.194469451904297"
"run_1775516417_180b6a6a","1775516511.6158242","6.0","997.0","16.0","25.194469451904297","0.0","21.843778610229492","-100.0","-100.0","0.0","2.321887493133545","634.7612909629388","25.194469451904297"
"run_1775516417_180b6a6a","1775516514.1236012","6.0","997.0","16.0","25.194469451904297","0.0","21.793773651123047","-100.0","-100.0","0.0","2.4489705562591553","634.7612909629388","25.194469451904297"
"run_1775516417_180b6a6a","1775516516.6455834","6.0","997.0","16.0","25.150020599365234","0.0","21.793773651123047","-100.0","-100.0","0.0","2.215364933013916","632.5235361484956","25.150020599365234"
"run_1775516417_180b6a6a","1775516519.1454916","6.0","997.0","16.0","25.105575561523438","0.0","21.743772506713867","-100.0","-100.0","0.0","2.335221529006958","630.2899242753629","25.105575561523438"
"run_1775516417_180b6a6a","1775516521.6569989","6.0","997.0","16.0","25.105575561523438","0.0","21.743772506713867","-100.0","-100.0","0.0","2.5875470638275146","630.2899242753629","25.105575561523438"
"run_1775516417_180b6a6a","1775516524.1618216","6.0","997.0","16.0","25.061067581176758","0.0","21.643667221069336","-100.0","-100.0","0.0","2.686936140060425","628.0571083083087","25.061067581176758"
"run_1775516417_180b6a6a","1775516526.6583219","6.0","997.0","16.0","25.01659393310547","0.0","21.643667221069336","-100.0","-100.0","0.0","2.9095733165740967","625.8299720138893","25.01659393310547"
"run_1775516417_180b6a6a","1775516529.1598797","6.0","997.0","16.0","24.972171783447266","0.0","21.59369468688965","-100.0","-100.0","0.0","2.978066921234131","623.6093635819998","24.972171783447266"
"run_1775516417_180b6a6a","1775516531.6850567","6.0","997.0","16.0","24.927698135375977","0.0","21.54366111755371","-100.0","-100.0","0.0","3.178030252456665","621.3901343284269","24.927698135375977"
"run_1775516417_180b6a6a","1775516534.19751","6.0","997.0","16.0","24.883251190185547","0.0","21.4936580657959","-100.0","-100.0","0.0","3.2134764194488525","619.1761897938704","24.883251190185547"
"run_1775516417_180b6a6a","1775516536.7051384","6.0","997.0","16.0","24.838809967041016","0.0","21.443660736083984","-100.0","-100.0","0.0","2.9069442749023438","616.9664805787761","24.838809967041016"
"run_1775516417_180b6a6a","1775516539.2103574","6.0","997.0","16.0","24.794336318969727","0.0","21.34366226196289","-100.0","-100.0","0.0","3.385972499847412","614.7591134981813","24.794336318969727"
"run_1775516417_180b6a6a","1775516541.740195","6.0","997.0","16.0","24.749921798706055","0.0","21.34366226196289","-100.0","-100.0","0.0","3.537701368331909","612.5586290420651","24.749921798706055"
"run_1775516417_180b6a6a","1775516544.2672412","6.0","997.0","16.0","24.661008834838867","0.0","21.243635177612305","-100.0","-100.0","0.0","3.9471473693847656","608.1653567520007","24.661008834838867"
"run_1775516417_180b6a6a","1775516546.770607","6.0","997.0","16.0","24.57208251953125","0.0","21.143592834472656","-100.0","-100.0","0.0","4.501071929931641","603.7872393466532","24.57208251953125"
"run_1775516417_180b6a6a","1775516549.2957706","6.0","997.0","16.0","24.483177185058594","0.0","21.0435733795166","-100.0","-100.0","0.0","4.79410982131958","599.4259650749736","24.483177185058594"
"run_1775516417_180b6a6a","1775516551.8086255","6.0","997.0","16.0","24.394285202026367","0.0","20.943571090698242","-100.0","-100.0","0.0","4.79248571395874","595.0811505178026","24.394285202026367"
"run_1775516417_180b6a6a","1775516554.31935","6.0","997.0","16.0","24.305397033691406","0.0","20.843570709228516","-100.0","-100.0","0.0","5.478512287139893","590.752324965375","24.305397033691406"
"run_1775516417_180b6a6a","1775516556.82336","6.0","997.0","16.0","24.260963439941406","0.0","20.793582916259766","-100.0","-100.0","0.0","5.895558834075928","588.5943470341736","24.260963439941406"
"run_1775516417_180b6a6a","1775516559.3326132","6.0","997.0","16.0","24.083168029785156","0.0","20.593564987182617","-100.0","-100.0","0.0","5.957254409790039","579.9989823508658","24.083168029785156"
"run_1775516417_180b6a6a","1775516561.8456273","6.0","997.0","16.0","24.038734436035156","0.0","20.543577194213867","-100.0","-100.0","0.0","6.784274578094482","577.8607532862225","24.038734436035156"
"run_1775516417_180b6a6a","1775516564.3565843","6.0","997.0","16.0","23.905399322509766","0.0","20.393573760986328","-100.0","-100.0","0.0","7.218669891357422","571.4681167686504","23.905399322509766"
"run_1775516417_180b6a6a","1775516566.8887289","6.0","997.0","16.0","23.772083282470703","0.0","20.14360237121582","-100.0","-100.0","0.0","7.95894718170166","565.1119435887231","23.772083282470703"
"run_1775516417_180b6a6a","1775516569.422841","6.0","997.0","16.0","23.638790130615234","0.0","20.093637466430664","-100.0","-100.0","0.0","8.242860794067383","558.7923988392722","23.638790130615234"
"run_1775516417_180b6a6a","1775516571.9440436","6.0","997.0","16.0","23.46104621887207","0.0","19.8936767578125","-100.0","-100.0","0.0","8.386286735534668","550.4206896840515","23.46104621887207"
"run_1775516417_180b6a6a","1775516574.445732","6.0","997.0","16.0","23.37218475341797","0.0","19.79370880126953","-100.0","-100.0","0.0","9.068964958190918","546.2590201479034","23.37218475341797"
"run_1775516417_180b6a6a","1775516576.9584928","6.0","997.0","16.0","23.283300399780273","0.0","19.593751907348633","-100.0","-100.0","0.0","9.142853736877441","542.1120775064082","23.283300399780273"
"run_1775516417_180b6a6a","1775516579.453767","6.0","997.0","16.0","23.061176300048828","0.0","19.443824768066406","-100.0","-100.0","0.0","9.22482681274414","531.8178523419338","23.061176300048828"
"run_1775516417_180b6a6a","1775516581.9593518","6.0","997.0","16.0","22.97231674194336","0.0","19.243906021118164","-100.0","-100.0","0.0","10.18632984161377","527.7273364921712","22.97231674194336"
"run_1775516417_180b6a6a","1775516584.4622571","6.0","997.0","16.0","22.83904266357422","0.0","19.19392204284668","-100.0","-100.0","0.0","10.61473274230957","521.6218697885633","22.83904266357422"
"run_1775516417_180b6a6a","1775516586.9735842","6.0","997.0","16.0","22.66132354736328","0.0","18.894044876098633","-100.0","-100.0","0.0","11.030562400817871","513.5355849182815","22.66132354736328"
"run_1775516417_180b6a6a","1775516589.488434","6.0","997.0","16.0","22.48368263244629","0.0","18.794143676757812","-100.0","-100.0","0.0","11.35058879852295","505.5159847165669","22.48368263244629"
"run_1775516417_180b6a6a","1775516592.0043614","6.0","997.0","16.0","22.305980682373047","0.0","18.594228744506836","-100.0","-100.0","0.0","11.197527885437012","497.55677420239954","22.305980682373047"
"run_1775516417_180b6a6a","1775516594.5014434","6.0","997.0","16.0","22.12833595275879","0.0","18.394378662109375","-100.0","-100.0","0.0","12.380450248718262","489.6632520381572","22.12833595275879"
"run_1775516417_180b6a6a","1775516597.0171113","6.0","997.0","16.0","22.03950309753418","0.0","18.24447250366211","-100.0","-100.0","0.0","12.549431800842285","485.7396967862187","22.03950309753418"
"run_1775516417_180b6a6a","1775516599.5143266","6.0","997.0","16.0","21.77306365966797","0.0","17.99469566345215","-100.0","-100.0","0.0","12.281177520751953","474.0663011279539","21.77306365966797"
"run_1775516417_180b6a6a","1775516602.0406756","6.0","997.0","16.0","21.684242248535156","0.0","17.794830322265625","-100.0","-100.0","0.0","13.312609672546387","470.206361893157","21.684242248535156"
"run_1775516417_180b6a6a","1775516604.540028","6.0","997.0","16.0","21.506603240966797","0.0","17.694929122924805","-100.0","-100.0","0.0","12.981136322021484","462.53398296436353","21.506603240966797"
"run_1775516417_180b6a6a","1775516607.039118","6.0","997.0","16.0","21.329004287719727","0.0","17.395221710205078","-100.0","-100.0","0.0","12.972686767578125","454.9264239055665","21.329004287719727"
"run_1775516417_180b6a6a","1775516609.5354373","6.0","997.0","16.0","21.151405334472656","0.0","17.295330047607422","-100.0","-100.0","0.0","13.594621658325195","447.38194762315834","21.151405334472656"
"run_1775516417_180b6a6a","1775516612.0488212","6.0","997.0","16.0","20.973798751831055","0.0","17.095523834228516","-100.0","-100.0","0.0","13.987617492675781","439.9002340823099","20.973798751831055"
"run_1775516417_180b6a6a","1775516614.555096","6.0","997.0","16.0","20.751853942871094","0.0","16.845834732055664","-100.0","-100.0","0.0","14.549629211425781","430.63944206625456","20.751853942871094"
"run_1775516417_180b6a6a","1775516617.051355","6.0","997.0","16.0","20.663061141967773","0.0","16.646072387695312","-100.0","-100.0","0.0","14.39566421508789","426.96209575669855","20.663061141967773"
