decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
24,460.0,1.0439531696029007,-1.0439531696029007,50.0,806.0,15.0,46.0,1000.0,9.0,True,96.0161258908023,101.76348339999655,1.0350629794411361,0.3705242308324078,0.4995213550282642,1.0350629794411361,0.576594773118721,0.2191637643363955,768,24,40,32753.38190000184
25,480.0,0.6113060680218041,-0.6113060680218041,46.0,1000.0,9.0,1.0,1.0,4.0,True,39.08023682776171,170.49577664957738,0.40844595385715365,0.1261480543122429,0.8273732549976558,0.5648087016306818,0.6749833548133904,0.7984674198082415,768,19,40,32128.19500000478
26,500.0,-0.3794206562452018,0.3794206562452018,1.0,1.0,4.0,1.0,909.0,5.0,True,29.156006088244027,37.94237207600457,0.2897029700689018,0.05408386582972798,1.794538006512448,0.06420372752472758,0.7308182524267814,0.5256378626001227,768,19,40,33066.15410000086
27,520.0,1.6145816114731133,-1.6145816114731133,1.0,909.0,5.0,1.0,1000.0,1.0,True,2.9329397335173977,41.798969083765456,0.0,0.0,1.110515961801866,0.625322655076161,0.39792210936020445,0.132437301538067,768,18,40,33422.047799998836
28,540.0,1.9159500892274082,-1.9159500892274082,1.0,1000.0,1.0,1.0,1000.0,1.0,False,2.0171028976815064,2.0171028976815064,0.0,0.0,0.7281581056624418,0.5891063049784862,0.2662335338673799,0.0,768,12,40,32483.204099997238
29,560.0,0.6130502331070602,-0.6130502331070602,1.0,1000.0,1.0,1.0,159.0,3.0,True,1.2205804401057474,1.6662231120269717,0.0,0.0,0.4436938837156049,0.1804516498814337,0.23806862350087807,0.48982242329427816,768,14,40,33074.09020000341
30,580.0,0.6552122212015092,-0.6552122212015092,1.0,159.0,3.0,1.0,154.0,1.0,True,0.8814878501157652,0.9217827347110062,0.0,0.0,0.30903911763307407,0.09171296248678118,0.21694470989188824,0.060842371433819105,768,15,40,32141.23959999415
31,600.0,0.5965623378288001,-0.5965623378288001,1.0,154.0,1.0,1.0,216.0,3.0,True,0.5650962576081731,7.779165430101306,0.0,0.0,0.20323891168809496,0.03790108719840646,0.1389623876926166,0.07055029401631988,768,13,40,32959.69719999994
32,620.0,0.13577590393833816,-0.13577590393833816,1.0,216.0,3.0,1.0,182.0,5.0,True,0.3797080296004236,0.3901866460421044,0.0,0.0,0.13748251390643418,0.042028309777379036,0.08309013340329824,0.06387134955675115,768,14,40,31961.053300001367
33,640.0,0.24935003276914358,-0.24935003276914358,1.0,182.0,5.0,1.0,363.0,1.0,True,0.29928849144027,3.111462354424774,0.0,0.0,0.11187363097560592,0.02270341059193015,0.06258590380935614,0.1603620383736928,768,13,40,32438.55970000004
34,660.0,0.0960385026410222,-0.0960385026410222,1.0,363.0,1.0,1.0,1000.0,1.0,True,0.17063995266262177,0.2119323180243328,0.0,0.0,0.06107871390049695,0.03174538764869794,0.028928428419923633,0.3681402617355271,768,7,40,33368.20550000266
35,680.0,0.05431584402685985,-0.05431584402685985,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.18030999643082607,0.18030999643082607,0.0,0.0,0.0636014291572792,0.05311789258848876,0.02654819182202327,0.0,768,14,40,32800.19270000048
36,700.0,0.10601095514721237,-0.10601095514721237,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.14381494521701046,0.14381494521701046,0.0,0.0,0.052455820950763156,0.039677008284343174,0.019064799173312563,0.0,768,12,40,32104.59389999596
37,720.0,0.05492776897153817,-0.05492776897153817,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.10517988659822754,0.10517988659822754,0.0,0.0,0.04031376828397697,0.032239954420219874,0.008432372820163663,0.0,768,13,40,33108.04829999688
38,740.0,0.03174538764869794,-0.03174538764869794,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.10929327651877269,0.10929327651877269,0.0,0.0,0.040708720965540124,0.04019138937655953,0.007780139899412678,0.0,768,13,40,33920.908100000815
39,760.0,0.05311789258848876,-0.05311789258848876,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.0963314371990094,0.0963314371990094,0.0,0.0,0.037924246502461754,0.025615975424443604,0.007674956481864082,0.0,768,13,40,32486.093600004097
40,780.0,0.039677008284343174,-0.039677008284343174,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.08057130821803532,0.08057130821803532,0.0,0.0,0.031285645929347086,0.023048777406074805,0.006475627656303747,0.0,768,13,40,33112.11029999686
41,800.0,0.032239954420219874,-0.032239954420219874,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.08195129329597269,0.08195129329597269,0.0,0.0,0.03023928732955028,0.029640026630659122,0.006652705321542568,0.0,768,10,40,32128.783400003158
42,820.0,0.04019138937655953,-0.04019138937655953,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.0703678209123915,0.0703678209123915,0.0,0.0,0.027239331684813805,0.02228582680254476,0.004746244141491492,0.0,768,9,40,33039.04429999966
43,840.0,0.025615975424443604,-0.025615975424443604,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.06067802495835869,0.06067802495835869,0.0,0.0,0.023822852576677177,0.0186670612256421,0.003698789192183281,0.0,768,8,40,31981.748999998672
44,860.0,0.023048777406074805,-0.023048777406074805,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.0609284161604933,0.0609284161604933,0.0,0.0,0.02328857958896151,0.02066692760308797,0.004017793181026286,0.0,768,9,40,32639.32329999807
45,880.0,0.029640026630659122,-0.029640026630659122,1.0,1000.0,1.0,7.0,1000.0,13.0,True,0.05333073334356816,0.05426589542895328,0.0,0.0,0.01637200574034523,0.02156826140389967,0.0060882687940077744,0.37143223669200853,768,9,40,33955.41740000044
46,900.0,0.006466161372372881,-0.006466161372372881,7.0,1000.0,13.0,7.0,1000.0,15.0,True,0.0449751825822725,0.057125102140308186,0.0,0.0,0.013451359281668828,0.022834584346583142,0.006047434720180503,0.06077371254627639,768,8,40,32600.529000003007
