run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp
run_1779939719_d0def668,1779940200.6403468,1.0,13.0,50.0,23.683202743530273,0.0,20.14360237121582,-100.0,-100.0,0.0,21.5902042388916,560.8940921911599,23.683202743530273,23.683202743530273
run_1779939719_d0def668,1779940202.3375144,1.0,13.0,50.0,23.638790130615234,0.0,20.093637466430664,-100.0,-100.0,0.0,29.82965660095215,558.7923988392722,23.638790130615234,23.683202743530273
run_1779939719_d0def668,1779940204.3455408,1.0,13.0,50.0,23.638790130615234,0.0,20.093637466430664,-100.0,-100.0,0.0,26.984220504760742,558.7923988392722,23.638790130615234,23.683202743530273
run_1779939719_d0def668,1779940206.3401418,1.0,13.0,50.0,23.59433364868164,0.0,20.043624877929688,-100.0,-100.0,0.0,34.719322204589844,556.6925803253107,23.59433364868164,23.683202743530273
run_1779939719_d0def668,1779940208.3488822,1.0,13.0,50.0,23.505470275878906,0.0,19.943653106689453,-100.0,-100.0,0.0,40.0,552.5071328902268,23.505470275878906,23.683202743530273
run_1779939719_d0def668,1779940210.3438752,1.0,13.0,50.0,23.46104621887207,0.0,19.8936767578125,-100.0,-100.0,0.0,40.0,550.4206896840515,23.46104621887207,23.683202743530273
run_1779939719_d0def668,1779940212.3511891,1.0,13.0,50.0,23.327735900878906,0.0,19.743703842163086,-100.0,-100.0,0.0,40.0,544.1832622611546,23.327735900878906,23.683202743530273
run_1779939719_d0def668,1779940214.3458776,1.0,13.0,50.0,23.283300399780273,0.0,19.69371223449707,-100.0,-100.0,0.0,40.0,542.1120775064082,23.283300399780273,23.683202743530273
run_1779939719_d0def668,1779940216.33814,1.0,13.0,50.0,23.14999771118164,0.0,19.543746948242188,-100.0,-100.0,0.0,40.0,535.9223940277152,23.14999771118164,23.683202743530273
run_1779939719_d0def668,1779940218.3482294,1.0,13.0,50.0,23.061176300048828,0.0,19.443824768066406,-100.0,-100.0,0.0,40.0,531.8178523419338,23.061176300048828,23.683202743530273
run_1779939719_d0def668,1779940220.3386235,1.0,13.0,50.0,22.927886962890625,0.0,19.293872833251953,-100.0,-100.0,0.0,40.0,525.6880005830899,22.927886962890625,23.683202743530273
run_1779939719_d0def668,1779940222.3379734,1.0,13.0,50.0,22.883472442626953,0.0,19.243906021118164,-100.0,-100.0,0.0,40.0,523.6533110324672,22.883472442626953,23.683202743530273
run_1779939719_d0def668,1779940224.3445325,1.0,13.0,50.0,22.705760955810547,0.0,19.043981552124023,-100.0,-100.0,0.0,40.0,515.5515805824107,22.705760955810547,23.683202743530273
run_1779939719_d0def668,1779940226.3526685,1.0,13.0,50.0,22.66132354736328,0.0,18.993988037109375,-100.0,-100.0,0.0,40.0,513.5355849182815,22.66132354736328,23.683202743530273
run_1779939719_d0def668,1779940228.343667,1.0,13.0,50.0,22.528078079223633,0.0,18.844087600708008,-100.0,-100.0,0.0,40.0,507.51430194359637,22.528078079223633,23.683202743530273
run_1779939719_d0def668,1779940230.337745,1.0,13.0,50.0,22.48368263244629,0.0,18.794143676757812,-100.0,-100.0,0.0,40.0,505.5159847165669,22.48368263244629,23.683202743530273
run_1779939719_d0def668,1779940232.3407464,1.0,13.0,50.0,22.350419998168945,0.0,18.644222259521484,-100.0,-100.0,0.0,40.0,499.5412740945503,22.350419998168945,23.683202743530273
run_1779939719_d0def668,1779940234.3377464,1.0,13.0,50.0,22.305980682373047,0.0,18.594228744506836,-100.0,-100.0,0.0,40.0,497.55677420239954,22.305980682373047,23.683202743530273
run_1779939719_d0def668,1779940236.3453856,1.0,13.0,50.0,22.172725677490234,0.0,18.44431495666504,-100.0,-100.0,0.0,40.0,491.6297639692348,22.172725677490234,23.683202743530273
run_1779939719_d0def668,1779940238.3515134,1.0,13.0,50.0,22.12833595275879,0.0,18.394378662109375,-100.0,-100.0,0.0,40.0,489.6632520381572,22.12833595275879,23.683202743530273
run_1779939719_d0def668,1779940240.3501072,1.0,13.0,50.0,22.03950309753418,0.0,18.29444122314453,-100.0,-100.0,0.0,40.0,485.7396967862187,22.03950309753418,23.683202743530273
run_1779939719_d0def668,1779940242.3412511,1.0,13.0,50.0,21.995086669921875,0.0,18.24447250366211,-100.0,-100.0,0.0,40.0,483.78383761737496,21.995086669921875,23.683202743530273
run_1779939719_d0def668,1779940244.3526225,1.0,13.0,50.0,21.90630340576172,0.0,18.144590377807617,-100.0,-100.0,0.0,40.0,479.8861289052875,21.90630340576172,23.683202743530273
run_1779939719_d0def668,1779940246.3448143,1.0,13.0,50.0,21.86184310913086,0.0,18.094573974609375,-100.0,-100.0,0.0,40.0,477.94018412825244,21.86184310913086,23.683202743530273
run_1779939719_d0def668,1779940248.3419964,1.0,13.0,50.0,21.77306365966797,0.0,17.99469566345215,-100.0,-100.0,0.0,40.0,474.0663011279539,21.77306365966797,23.683202743530273
run_1779939719_d0def668,1779940250.3532257,1.0,13.0,50.0,21.7286376953125,0.0,17.944717407226562,-100.0,-100.0,0.0,40.0,472.1336960941553,21.7286376953125,23.683202743530273
run_1779939719_d0def668,1779940252.3473296,1.0,13.0,50.0,21.639829635620117,0.0,17.84480857849121,-100.0,-100.0,0.0,40.0,468.2822266586627,21.639829635620117,23.683202743530273
run_1779939719_d0def668,1779940254.3387096,1.0,13.0,50.0,21.59540557861328,0.0,17.794830322265625,-100.0,-100.0,0.0,40.0,466.36154210480163,21.59540557861328,23.683202743530273
run_1779939719_d0def668,1779940256.3468413,1.0,13.0,50.0,21.506603240966797,0.0,17.694929122924805,-100.0,-100.0,0.0,40.0,462.53398296436353,21.506603240966797,23.683202743530273
run_1779939719_d0def668,1779940258.338748,1.0,13.0,50.0,21.506603240966797,0.0,17.694929122924805,-100.0,-100.0,0.0,40.0,462.53398296436353,21.506603240966797,23.683202743530273
run_1779939719_d0def668,1779940260.3437753,1.0,13.0,50.0,21.417802810668945,0.0,17.595027923583984,-100.0,-100.0,0.0,40.0,458.7222772366986,21.417802810668945,23.683202743530273
run_1779939719_d0def668,1779940262.3525453,1.0,13.0,50.0,21.373382568359375,0.0,17.545055389404297,-100.0,-100.0,0.0,40.0,456.8214824134484,21.373382568359375,23.683202743530273
run_1779939719_d0def668,1779940264.3479776,1.0,13.0,50.0,21.329004287719727,0.0,17.49513053894043,-100.0,-100.0,0.0,40.0,454.9264239055665,21.329004287719727,23.683202743530273
run_1779939719_d0def668,1779940266.3517992,1.0,13.0,50.0,21.284587860107422,0.0,17.445159912109375,-100.0,-100.0,0.0,40.0,453.03368037463224,21.284587860107422,23.683202743530273
run_1779939719_d0def668,1779940268.3419092,1.0,13.0,50.0,21.240196228027344,0.0,17.395221710205078,-100.0,-100.0,0.0,40.0,451.145935805107,21.240196228027344,23.683202743530273
run_1779939719_d0def668,1779940270.3513637,1.0,13.0,50.0,21.195819854736328,0.0,17.345298767089844,-100.0,-100.0,0.0,40.0,449.26277931443474,21.195819854736328,23.683202743530273
run_1779939719_d0def668,1779940272.3441055,1.0,13.0,50.0,21.151405334472656,0.0,17.295330047607422,-100.0,-100.0,0.0,40.0,447.38194762315834,21.151405334472656,23.683202743530273
run_1779939719_d0def668,1779940274.3511748,1.0,13.0,50.0,21.107013702392578,0.0,17.245391845703125,-100.0,-100.0,0.0,40.0,445.50602743298805,21.107013702392578,23.683202743530273
run_1779939719_d0def668,1779940276.3526692,1.0,13.0,50.0,21.107013702392578,0.0,17.245391845703125,-100.0,-100.0,0.0,40.0,445.50602743298805,21.107013702392578,23.683202743530273
run_1779939719_d0def668,1779940278.3522756,1.0,13.0,50.0,21.06261444091797,0.0,17.19544219970703,-100.0,-100.0,0.0,40.0,443.63372708676616,21.06261444091797,23.683202743530273
