decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
107,1060.0,0.020295356843234913,-0.020295356843234913,13.0,919.0,20.0,12.0,858.0,20.0,True,0.015323705476988362,0.4665298612532449,0.0,0.0,0.01207813851924584,0.0007704680310780532,0.006075569197316289,0.03717053629675893,768,30,102091.18260000832
108,1070.0,0.01903568697071023,-0.01903568697071023,12.0,858.0,20.0,11.0,801.0,20.0,True,0.01626066597147247,0.37084438322457514,0.0,0.0,0.013113672733804075,0.0021103242825120105,0.006116456063733937,0.03498571559877762,768,30,102125.85469998885
109,1080.0,0.020473376846894098,-0.020473376846894098,11.0,801.0,20.0,11.0,821.0,20.0,True,0.01741767074600791,0.18096426678184022,0.0,0.0,0.017282947253079328,0.009144119175289234,0.004636718034135012,0.011558563947740255,768,30,103044.86439999891
110,1090.0,0.023041561958052625,-0.023041561958052625,11.0,821.0,20.0,11.0,821.0,20.0,False,0.01593203319801765,0.01593203319801765,0.0,0.0,0.014620622678254829,0.006303525427028944,0.004928072974426105,0.0,768,30,101973.33829995478
111,1100.0,0.020593893204022606,-0.020593893204022606,11.0,821.0,20.0,11.0,821.0,20.0,False,0.014044751051002259,0.014044751051002259,0.0,0.0,0.011775834004765784,0.0033169636290040216,0.005015551217773546,0.0,768,30,101698.2748999726
112,1110.0,0.017884716521621158,-0.017884716521621158,11.0,821.0,20.0,11.0,821.0,20.0,False,0.011988953448291425,0.011988953448291425,0.0,0.0,0.008853643732982164,0.00022615330726694083,0.005052574024030761,0.0,768,30,102252.41890002508
113,1120.0,0.0149713864802834,-0.0149713864802834,11.0,821.0,20.0,11.0,846.0,20.0,True,0.012977801649822408,0.3407937151962117,0.0,0.0,0.01512240483067823,0.010045388756225293,0.0023930721281136802,0.01444820493467532,768,30,102161.70719999354
114,1130.0,0.017475138963163772,-0.017475138963163772,11.0,846.0,20.0,13.0,976.0,20.0,True,0.012526141311009603,0.012603295057376871,0.0,0.0,0.009519983728690324,0.0026210230635115295,0.004262117993359397,0.078739704679698,768,30,101410.70130001754
115,1140.0,0.013647283972204605,-0.013647283972204605,13.0,976.0,20.0,13.0,1000.0,20.0,True,0.012419202102512369,0.0643772890125838,0.0,0.0,0.01604031031050302,0.012216770860504766,0.0014820259213932493,0.013870276737288308,768,30,101537.40679996554
116,1150.0,0.016307882367073034,-0.016307882367073034,13.0,1000.0,20.0,13.0,1000.0,20.0,False,0.012798655470946649,0.012798655470946649,0.0,0.0,0.015093350794207558,0.009533194373034348,0.002506694062793981,0.0,768,30,102040.74659995968
117,1160.0,0.01716571584893245,-0.01716571584893245,13.0,1000.0,20.0,13.0,1000.0,20.0,False,0.0131527836283147,0.0131527836283147,0.0,0.0,0.013610887252495256,0.006831557678196987,0.0035074136693585777,0.0,768,30,102401.29060001345
118,1170.0,0.017541984801027866,-0.017541984801027866,13.0,1000.0,20.0,13.0,1000.0,20.0,False,0.012782161013645628,0.012782161013645628,0.0,0.0,0.01157953509058037,0.004317772471949866,0.004153683879777311,0.0,768,30,102544.97089999495
119,1180.0,0.016543904740501603,-0.016543904740501603,13.0,1000.0,20.0,13.0,1000.0,20.0,False,0.011681161192186594,0.011681161192186594,0.0,0.0,0.009237811729993458,0.0021447619210448465,0.004380608942832739,0.0,768,30,102237.66099999193
120,1190.0,0.014594154562473705,-0.014594154562473705,13.0,1000.0,20.0,13.0,1000.0,20.0,False,0.010043640223779744,0.010043640223779744,0.0,0.0,0.006836591758049811,0.00024493808359693503,0.004276926415185657,0.0,768,30,101854.19410001487
