run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp
run_1779931812_f1e0225a,1779932293.5930092,20.0,20.0,47.0,23.86095428466797,0.0,20.34357261657715,-100.0,-100.0,-4.1756672859191895,1.4673056602478027,569.3451393750147,23.86095428466797,23.86095428466797
run_1779931812_f1e0225a,1779932295.2993789,20.0,20.0,47.0,23.816524505615234,0.0,20.293590545654297,-100.0,-100.0,-16.099483489990234,1.8364681005477905,567.226839526571,23.816524505615234,23.86095428466797
run_1779931812_f1e0225a,1779932297.2902708,20.0,20.0,47.0,23.816524505615234,0.0,20.293590545654297,-100.0,-100.0,-28.00775146484375,1.6612883806228638,567.226839526571,23.816524505615234,23.86095428466797
run_1779931812_f1e0225a,1779932299.2951522,20.0,20.0,47.0,23.72765350341797,0.0,20.19361114501953,-100.0,-100.0,-39.889366149902344,2.4914772510528564,563.001540778263,23.72765350341797,23.86095428466797
run_1779931812_f1e0225a,1779932301.304954,20.0,20.0,47.0,23.683202743530273,0.0,20.14360237121582,-100.0,-100.0,-51.74208450317383,2.7530744075775146,560.8940921911599,23.683202743530273,23.86095428466797
run_1779931812_f1e0225a,1779932303.2961676,20.0,20.0,47.0,23.549909591674805,0.0,19.993648529052734,-100.0,-100.0,-63.55033493041992,3.9881784915924072,554.598241776057,23.549909591674805,23.86095428466797
run_1779931812_f1e0225a,1779932305.3036768,20.0,20.0,47.0,23.505470275878906,0.0,19.943653106689453,-100.0,-100.0,-75.31414794921875,4.106877326965332,552.5071328902268,23.505470275878906,23.86095428466797
run_1779931812_f1e0225a,1779932307.2956822,20.0,20.0,47.0,23.327735900878906,0.0,19.743703842163086,-100.0,-100.0,-87.0135498046875,5.692366600036621,544.1832622611546,23.327735900878906,23.86095428466797
run_1779931812_f1e0225a,1779932309.2902756,20.0,20.0,47.0,23.23885154724121,0.0,19.643707275390625,-100.0,-100.0,-98.65522766113281,6.147695541381836,540.0442212347152,23.23885154724121,23.86095428466797
run_1779931812_f1e0225a,1779932311.298639,20.0,20.0,47.0,23.10558319091797,0.0,19.4937801361084,-100.0,-100.0,-100.0,7.028975486755371,533.867974592431,23.10558319091797,23.86095428466797
run_1779931812_f1e0225a,1779932313.2918963,20.0,20.0,47.0,23.01673126220703,0.0,19.393823623657227,-100.0,-100.0,-100.0,7.356443881988525,529.7699179966585,23.01673126220703,23.86095428466797
run_1779931812_f1e0225a,1779932315.3034036,20.0,20.0,47.0,22.83904266357422,0.0,19.19392204284668,-100.0,-100.0,-100.0,8.631448745727539,521.6218697885633,22.83904266357422,23.86095428466797
run_1779931812_f1e0225a,1779932317.2944686,20.0,20.0,47.0,22.794599533081055,0.0,19.143924713134766,-100.0,-100.0,-100.0,8.307270050048828,519.593767873539,22.794599533081055,23.86095428466797
run_1779931812_f1e0225a,1779932319.3047926,20.0,20.0,47.0,22.61692237854004,0.0,18.94403839111328,-100.0,-100.0,-100.0,9.512064933776855,511.5251778769052,22.61692237854004,23.86095428466797
run_1779931812_f1e0225a,1779932321.2958806,20.0,20.0,47.0,22.572484970092773,0.0,18.894044876098633,-100.0,-100.0,-100.0,9.103821754455566,509.51707772506415,22.572484970092773,23.86095428466797
run_1779931812_f1e0225a,1779932323.3004336,20.0,20.0,47.0,22.439247131347656,0.0,18.744152069091797,-100.0,-100.0,-100.0,9.713114738464355,503.519811821694,22.439247131347656,23.86095428466797
run_1779931812_f1e0225a,1779932325.2895114,20.0,20.0,47.0,22.350419998168945,0.0,18.644222259521484,-100.0,-100.0,-100.0,9.78426456451416,499.5412740945503,22.350419998168945,23.86095428466797
run_1779931812_f1e0225a,1779932327.2980452,20.0,20.0,47.0,22.217159271240234,0.0,18.49430274963379,-100.0,-100.0,-100.0,10.368890762329102,493.6021660836559,22.217159271240234,23.86095428466797
run_1779931812_f1e0225a,1779932329.301609,20.0,20.0,47.0,22.172725677490234,0.0,18.44431495666504,-100.0,-100.0,-100.0,9.878872871398926,491.6297639692348,22.172725677490234,23.86095428466797
run_1779931812_f1e0225a,1779932331.2947526,20.0,20.0,47.0,22.083904266357422,0.0,18.344392776489258,-100.0,-100.0,-100.0,9.934968948364258,487.69882764563954,22.083904266357422,23.86095428466797
run_1779931812_f1e0225a,1779932333.3015223,20.0,20.0,47.0,21.995086669921875,0.0,18.24447250366211,-100.0,-100.0,-100.0,9.984848976135254,483.78383761737496,21.995086669921875,23.86095428466797
run_1779931812_f1e0225a,1779932335.2984629,20.0,20.0,47.0,21.90630340576172,0.0,18.144590377807617,-100.0,-100.0,-100.0,10.030380249023438,479.8861289052875,21.90630340576172,23.86095428466797
run_1779931812_f1e0225a,1779932337.2959733,20.0,20.0,47.0,21.86184310913086,0.0,18.094573974609375,-100.0,-100.0,-100.0,9.572952270507812,477.94018412825244,21.86184310913086,23.86095428466797
run_1779931812_f1e0225a,1779932339.301579,20.0,20.0,47.0,21.77306365966797,0.0,17.99469566345215,-100.0,-100.0,-100.0,9.657732963562012,474.0663011279539,21.77306365966797,23.86095428466797
run_1779931812_f1e0225a,1779932341.3035796,20.0,20.0,47.0,21.7286376953125,0.0,17.944717407226562,-100.0,-100.0,-100.0,9.235466003417969,472.1336960941553,21.7286376953125,23.86095428466797
run_1779931812_f1e0225a,1779932343.2955036,20.0,20.0,47.0,21.639829635620117,0.0,17.84480857849121,-100.0,-100.0,-100.0,9.352773666381836,468.2822266586627,21.639829635620117,23.86095428466797
run_1779931812_f1e0225a,1779932345.2924924,20.0,20.0,47.0,21.59540557861328,0.0,17.794830322265625,-100.0,-100.0,-100.0,8.959575653076172,466.36154210480163,21.59540557861328,23.86095428466797
run_1779931812_f1e0225a,1779932347.3007183,20.0,20.0,47.0,21.506603240966797,0.0,17.694929122924805,-100.0,-100.0,-100.0,9.112846374511719,462.53398296436353,21.506603240966797,23.86095428466797
run_1779931812_f1e0225a,1779932349.289785,20.0,20.0,47.0,21.46221160888672,0.0,17.644987106323242,-100.0,-100.0,-100.0,8.742170333862305,460.62652714463184,21.46221160888672,23.86095428466797
run_1779931812_f1e0225a,1779932351.3004293,20.0,20.0,47.0,21.373382568359375,0.0,17.545055389404297,-100.0,-100.0,-100.0,8.916472434997559,456.8214824134484,21.373382568359375,23.86095428466797
