decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
14,260.0,3.317358063533902,-3.317358063533902,38.0,1.0,7.0,1.0,1.0,8.0,True,32.29165359157246,85.41659199637225,0.3693874813616276,1.0051993621047586,0.0030238668024065722,0.057039039818426736,0.6697790223846113,768,24,40,21742.960900010075
15,280.0,1.8166966754943132,-1.8166966754943132,1.0,1.0,8.0,1.0,1.0,8.0,False,31.21577132056689,31.21577132056689,0.3693874813616276,0.5526220876490697,0.0020466268367500453,0.04029853269457817,0.5185960996035446,768,24,40,21736.827599990647
16,300.0,0.4810033682733774,-0.4810033682733774,1.0,1.0,8.0,1.0,1.0,8.0,False,30.67639747064801,30.67639747064801,0.3693874813616276,0.3765499934321269,0.0013382178060515804,0.030937155183309164,0.34553461873251734,768,24,40,23034.646500003873
17,320.0,-0.3431913061067462,0.3431913061067462,1.0,1.0,8.0,1.0,1.0,2.0,True,18.907463986599755,22.335720362106223,0.22585226129740477,0.27277486409147966,0.0010839708757620693,0.027530406746126782,0.2720539371091741,768,24,40,22573.46050000342
18,340.0,0.5300241867080331,-0.5300241867080331,1.0,1.0,2.0,1.0,1.0,20.0,True,16.202999110320125,18.331403174321483,0.19122605212032795,0.3212939545046538,0.0005829425842787212,0.020267548958938092,0.2506681799990071,768,24,40,21800.21439999109
19,360.0,0.4182880995795131,-0.4182880995795131,1.0,1.0,20.0,1.0,1.0,14.0,True,14.210999058848016,16.016319179541632,0.17042297217994928,0.18761960992123933,0.0006685595743675515,0.02237871500591819,0.1885508731222418,768,24,40,21712.379799995688
20,380.0,-0.11823419202119112,0.11823419202119112,1.0,1.0,14.0,1.0,1.0,9.0,True,14.02975788683052,14.213875173994944,0.16909868083894253,0.16030376420821996,0.0006493940278118086,0.020862616526965912,0.1682680107424411,768,24,40,21720.989599998575
21,400.0,0.24100921489298344,-0.24100921489298344,1.0,1.0,9.0,1.0,1.0,14.0,True,12.132765470131817,14.055370980065163,0.1441387601371389,0.21240153151265986,0.00045491482167258566,0.017866960812870484,0.16776329970193601,768,24,40,22407.600100006675
22,420.0,0.21768073910789099,-0.21768073910789099,1.0,1.0,14.0,1.0,1.0,14.0,False,13.292741157605974,13.292741157605974,0.1598093195061665,0.15909267069691851,0.0006321691698556673,0.021232999277111586,0.17716687232170336,768,24,40,22995.938500011107
23,440.0,-0.1441387601371389,0.1441387601371389,1.0,1.0,14.0,1.0,1000.0,19.0,True,11.277212919960832,13.328903466686699,0.12725012304144911,0.4160623583258712,0.0008726224805614311,0.024929976343022037,0.24762591038193063,768,24,40,21752.23179999739
24,460.0,0.5692922452290077,-0.5692922452290077,1.0,1000.0,19.0,1.0,1000.0,20.0,True,1.0585472755759928,1.0755755270187621,0.0,0.43150089628761634,0.0004845357510277261,0.018759299010689106,0.18585476798020562,768,11,40,22346.11610000138
25,480.0,0.6398502296942752,-0.6398502296942752,1.0,1000.0,20.0,1.0,284.0,5.0,True,0.6033095780825934,0.7734985461250374,0.0,0.21342058581649326,0.0007150015574965942,0.023948500195565898,0.16216837529967507,768,13,40,22089.39530000498
26,500.0,0.0013925449165981263,-0.0013925449165981263,1.0,284.0,5.0,1.0,253.0,5.0,True,0.49198066485922,0.5076577009292609,0.0,0.17803645224194042,0.0004884497394600034,0.018669002056599427,0.12613876558613904,768,19,40,21889.690700001665
27,520.0,0.42376053307089023,-0.42376053307089023,1.0,253.0,5.0,1.0,405.0,4.0,True,0.4070910218787068,4.318510137609499,0.0,0.14312497873033864,0.00019028085336068924,0.011960245393894207,0.1170354473508158,768,19,40,23807.253000006313
28,540.0,0.07709009639802389,-0.07709009639802389,1.0,405.0,4.0,1.0,405.0,4.0,False,0.2850856571717815,0.2850856571717815,0.0,0.10912702845380409,9.901943442356889e-05,0.008357357315477341,0.06485121157570194,768,18,40,22143.22450000327
29,560.0,0.2115476137259975,-0.2115476137259975,1.0,405.0,4.0,1.0,417.0,13.0,True,0.2567723549431393,3.7642361182867163,0.0,0.09877228969780845,0.0005428150675380548,0.018456323429022748,0.048371474196761355,768,14,40,21744.37939999916
30,580.0,0.104026719374815,-0.104026719374815,1.0,417.0,13.0,1.0,277.0,9.0,True,0.16613848659223723,0.20988378883665645,0.0,0.06171354150574189,0.0005575971835906161,0.019627165489603218,0.03155945990894112,768,24,40,21744.997600006172
31,600.0,0.1088945925293956,-0.1088945925293956,1.0,277.0,9.0,1.0,277.0,9.0,False,0.16181344688394553,0.16181344688394553,0.0,0.06299044809275074,0.00038414074675610345,0.016032547963848814,0.028149735763321974,768,15,40,21737.862099995255
32,620.0,0.08283501156256534,-0.08283501156256534,1.0,277.0,9.0,1.0,229.0,18.0,True,0.12636703540670952,2.1434883572766306,0.0,0.04981499124260154,0.00028125166542248317,0.013547055545645073,0.02111201961305678,768,14,40,22629.24719999137
33,640.0,0.08398305650916882,-0.08398305650916882,1.0,229.0,18.0,2.0,107.0,20.0,True,0.10582594577982993,1.6316037388877902,0.0,0.04012193056623801,0.00013707092288525882,0.009124304018302772,0.022840666189648744,768,24,40,22935.44750000001
34,660.0,0.07219587292638607,-0.07219587292638607,2.0,107.0,20.0,3.0,123.0,20.0,True,0.08283230853320785,1.7130711853092722,0.0,0.03259542223167955,1.8940806314878592e-05,0.003113475447231068,0.017262647943551174,768,24,40,21816.21129999985
35,680.0,0.022755683603463694,-0.022755683603463694,3.0,123.0,20.0,5.0,62.0,17.0,True,0.052511847378784685,0.060945387385936536,6.687580025754869e-06,0.01740214480087161,1.0296915770228418e-05,0.0018463911699841563,0.016966613059576505,768,24,40,21728.301000010106
36,700.0,0.04301338261575438,-0.04301338261575438,5.0,62.0,17.0,3.0,132.0,15.0,True,0.04087956407492644,0.38000628737211306,0.0,0.01563958566707697,1.516880921898449e-06,0.0009044813966214021,0.009570055122334534,768,24,40,21734.02439999336
37,720.0,0.018791796299410635,-0.018791796299410635,3.0,132.0,15.0,4.0,108.0,16.0,True,0.021671483755943476,0.027003958673403064,0.0,0.007082717865796439,3.4027404068951484e-07,0.00044340770623071317,0.007499242543536808,768,24,40,22152.158199998667
38,740.0,0.016269135145194014,-0.016269135145194014,4.0,108.0,16.0,4.0,158.0,17.0,True,0.018195297584441928,0.24133774245393713,0.0,0.007142692722140964,3.2211940426971354e-07,0.0004474508021373297,0.0039034697520746063,768,24,40,23116.09429999953
39,760.0,0.00862501945994154,-0.00862501945994154,4.0,158.0,17.0,4.0,158.0,17.0,False,0.013394161897816573,0.013394161897816573,0.0,0.0047813326267487355,1.4234902793417053e-07,0.0002679031987239656,0.0038286496637604177,768,24,40,21768.58180000272
40,780.0,0.009565995178490994,-0.009565995178490994,4.0,158.0,17.0,3.0,156.0,14.0,True,0.013268678083003697,0.1339324821037,0.0,0.0048084319099643835,2.2495126316301902e-07,0.0003582176597704417,0.0036473152378116705,768,24,40,22080.347600000096
41,800.0,0.008546849903723341,-0.008546849903723341,3.0,156.0,14.0,5.0,224.0,19.0,True,0.012496336161428381,0.09940221106067304,0.0,0.005250897037171853,9.7647414653435e-07,0.0006906778466705313,0.0019750126041539876,768,19,40,22258.52859999577
42,820.0,0.003382056793270749,-0.003382056793270749,5.0,224.0,19.0,5.0,224.0,19.0,False,0.011772966211874488,0.011772966211874488,0.0,0.004795182387874774,3.092378325116446e-07,0.00035702627144182305,0.0021764166794747066,768,24,40,21757.68190000963
43,840.0,0.006955330465643783,-0.006955330465643783,5.0,224.0,19.0,4.0,215.0,17.0,True,0.01134216915152776,0.018120695348813155,0.0,0.004084704324986888,1.7959110615813726e-07,0.0003234389256389337,0.003169168679430823,768,24,40,23463.8505000039
44,860.0,0.008043745796385338,-0.008043745796385338,4.0,215.0,17.0,3.0,208.0,15.0,True,0.009469530088717563,0.11882863112519863,0.0,0.0034506681354514513,3.8054966449177034e-08,0.0001469908621542205,0.0025674327184856773,768,24,40,22751.54169999587
45,880.0,0.006134457410553296,-0.006134457410553296,3.0,208.0,15.0,2.0,204.0,12.0,True,0.010294300556344647,0.0482045871847713,0.0,0.003917055944657477,4.636441957409811e-07,0.0005976986133949443,0.002450915783114874,768,24,40,21769.58839999861
46,900.0,0.006625373590395611,-0.006625373590395611,2.0,204.0,12.0,1.0,251.0,8.0,True,0.011648597769734021,0.08756589547778988,0.0,0.004671586866061261,3.56539354449831e-07,0.0005303508047430883,0.002298293250522502,768,18,40,21507.13439998799
