decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
19,360.0,1.6082091687712818,-1.6082091687712818,1.0,1.0,6.0,1.0,1000.0,14.0,True,43.71229365234989,55.740625174408486,0.3204720502253622,0.11944137750163974,0.5048996332639945,0.25960275757825,0.5265412440378854,0.626441090223057,768,24,40,33016.29949999915
20,380.0,0.7857914289925247,-0.7857914289925247,1.0,1000.0,14.0,1.0,1000.0,16.0,True,44.13784409314521,48.00021824260359,0.3247488576453179,0.14000317531346287,0.2609129055868834,0.32070604688487947,0.28509934456150177,0.06077371254627639,768,20,40,33468.84549999959
21,400.0,-0.1831944005098194,0.1831944005098194,1.0,1000.0,16.0,1.0,1.0,6.0,True,32.671248027311144,49.37766046066397,0.23747224221006036,0.06547866237473579,0.7841073964489624,0.12144936947152019,0.5747552784976894,0.6524334730451598,768,17,40,32709.809599997243
22,420.0,1.1187962186522782,-1.1187962186522782,1.0,1.0,6.0,50.0,46.0,13.0,True,2.373218806326907,75.92722703541399,0.0,0.0,0.9270937266061082,0.011412812862545252,0.5071665834590287,0.6158363224389175,768,24,40,32791.92570000305
23,440.0,1.4402769752778113,-1.4402769752778113,50.0,46.0,13.0,50.0,806.0,15.0,True,44.798559399341826,69.34241239905577,0.33580833999440074,0.08473010727719824,0.6378576590446755,0.33580833999440074,0.5116017936742979,0.44340999369404677,768,19,40,32645.814199990127
24,460.0,1.0439531696029007,-1.0439531696029007,50.0,806.0,15.0,46.0,1000.0,9.0,True,137.41864506844774,145.6247659982238,1.0350629794411361,0.3705242308324078,0.4995213550282642,1.0350629794411361,0.576594773118721,0.2191637643363955,768,24,40,32376.107999996748
25,480.0,0.6113060680218041,-0.6113060680218041,46.0,1000.0,9.0,1.0,1.0,4.0,True,55.418074982047855,241.95915127546883,0.40844595385715365,0.1261480543122429,0.8273732549976558,0.5648087016306818,0.6749833548133904,0.7984674198082415,768,19,40,32335.29719999933
26,500.0,-0.3794206562452018,0.3794206562452018,1.0,1.0,4.0,1.0,1000.0,4.0,True,41.13217057525051,54.15354764068109,0.29672915069386363,0.05584442300617562,1.4122228343156167,0.7291638085152954,0.654538726220831,0.5773502691896257,768,19,40,32927.917799999705
27,520.0,1.6078269300051033,-1.6078269300051033,1.0,1000.0,4.0,1.0,1000.0,1.0,True,2.9582735675925482,4.546005139871455,0.0,0.0,1.1302745108812815,0.5835589870694093,0.40503344660708634,0.09116056881941459,768,18,40,32422.89570000139
28,540.0,1.7293438752531074,-1.7293438752531074,1.0,1000.0,1.0,1.0,208.0,1.0,True,1.6977794976657279,2.047874298077847,0.0,0.0,0.6464759093418252,0.13093258085427806,0.33478419723163344,0.4577191323305141,768,14,40,32262.134099990362
29,560.0,0.6639452976523899,-0.6639452976523899,1.0,208.0,1.0,1.0,155.0,1.0,True,1.1503062563659678,1.274681182285097,0.0,0.0,0.377295933989808,0.3578808297752403,0.21646767155411678,0.030630194461511676,768,17,40,33589.59540000069
30,580.0,0.6102661035838537,-0.6102661035838537,1.0,155.0,1.0,1.0,155.0,1.0,False,0.7553305583481542,0.7553305583481542,0.0,0.0,0.27586643656832166,0.03515779407462105,0.18601878817420037,0.0,768,14,40,32989.975999997114
31,600.0,0.4023885414353572,-0.4023885414353572,1.0,155.0,1.0,1.0,238.0,3.0,True,0.5033062865524704,13.778894195287343,0.0,0.0,0.17942263041841217,0.03734964728937484,0.12501196844763474,0.07742336233240107,768,13,40,32876.470800008974
32,620.0,0.05918965832097456,-0.05918965832097456,1.0,238.0,3.0,1.0,240.0,2.0,True,0.48562665892654283,0.4905869195760399,0.0,0.0,0.1538285317205009,0.11036000156309456,0.12248550638817587,0.03040883158179048,768,15,40,32589.68749998894
33,640.0,0.3567522718803957,-0.3567522718803957,1.0,240.0,2.0,1.0,240.0,2.0,False,0.2956071723911488,0.2956071723911488,0.0,0.0,0.10094333242159337,0.004866692586801946,0.0912871612545611,0.0,768,13,40,32661.131800006842
34,660.0,0.09690813103225082,-0.09690813103225082,1.0,240.0,2.0,1.0,1000.0,2.0,True,0.16318682128871648,2.7462933275901125,0.0,0.0,0.0553264384011527,0.03211962044224492,0.03208187996514734,0.43922543001412967,768,10,40,32457.28999999119
35,680.0,0.0954128330340609,-0.0954128330340609,1.0,1000.0,2.0,1.0,1000.0,1.0,True,0.13982033476232564,0.15634924311744036,0.0,0.0,0.04893406953660815,0.04025278826520662,0.02152193299377466,0.030386856273138196,768,15,40,32105.729800008703
36,700.0,0.07743683329317719,-0.07743683329317719,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.09557265520366622,0.09557265520366622,0.0,0.0,0.03685679365598844,0.022520619251736207,0.010598758265821222,0.0,768,12,40,33513.028999994276
37,720.0,0.03189011465292424,-0.03189011465292424,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.07820833642215044,0.07820833642215044,0.0,0.0,0.02944492820670348,0.02227365858198027,0.008181650717753347,0.0,768,13,40,33091.955099996994
38,740.0,0.033138187714939704,-0.033138187714939704,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.07738124714461392,0.07738124714461392,0.0,0.0,0.028372888066314772,0.02426712885062443,0.008501906586672166,0.0,768,13,40,32223.09280000627
39,760.0,0.04025278826520662,-0.04025278826520662,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.058638330516942574,0.058638330516942574,0.0,0.0,0.022925531731470983,0.013292628784256522,0.006140952661872345,0.0,768,13,40,32420.754199993098
40,780.0,0.022520619251736207,-0.022520619251736207,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.047153925086619385,0.047153925086619385,0.0,0.0,0.018100069271986284,0.01220309695781907,0.00485223806373728,0.0,768,13,40,34016.57829999749
41,800.0,0.02227365858198027,-0.02227365858198027,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.04530329533468308,0.04530329533468308,0.0,0.0,0.016774747711588135,0.01324880473293888,0.005129397545037372,0.0,768,10,40,33083.64320000692
