run_id,band,kp,ki,kd,cost,n_samples,start_temp,target_temp,duration_s,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,weighted_approach_speed,brake_penalty,mean_brake_weight,tail_mae,jitter_std,overshoot,mean_sq_overshoot,max_overshoot
run_1779995004_3062f7e4,far,1.0,56.0,50.0,22.038606281087205,185,29.34259414672852,0.0,1197.7039713859558,21.8952564187952,369.6992690563202,,,,,,,,,,
run_1779995004_3062f7e4,mid,18.0,262.0,21.0,3.198448161489153,59,29.34259414672852,0.0,1197.7039713859558,,,6.368764048915798,0.05928278969052201,0.023510787641971245,0.0014066137031254014,0.41333857464554996,,,,,
run_1779995004_3062f7e4,near,20.0,111.0,27.0,0.741499323135022,356,29.34259414672852,0.0,1197.7039713859558,,,,,,,,0.06517569118777644,0.07031029380994869,0.19442078052194925,0.004771607276264852,0.170562744140625
