run_id,band,kp,ki,kd,cost,n_samples,start_temp,target_temp,duration_s,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
run_1778788589_14470cde,far,7.0,966.0,1.0,21.726961246677067,184,27.284839630126957,0.0,1198.70516705513,21.334775059119515,368.65245723724365,,,,,
run_1778788589_14470cde,mid,12.0,625.0,38.0,7.665631997949771,56,27.284839630126957,0.0,1198.70516705513,,,6.321115251098361,0.05631342965500738,,,
run_1778788589_14470cde,near,16.0,105.0,56.0,6.403586312155334,348,27.284839630126957,0.0,1198.70516705513,,,,,0.05319884300231931,0.07912051164949552,0.006192146445854024
