run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp
run_1777363658_36c1101b,1777364142.9837494,7.0,966.0,1.0,29.58299827575684,0.0,26.648956298828125,-100.0,-100.0,0.0,0.0465241409838199,875.1537869834319,29.58299827575684,29.58299827575684
run_1777363658_36c1101b,1777364144.6115336,7.0,966.0,1.0,29.58299827575684,0.0,26.648956298828125,-100.0,-100.0,0.0,0.0420862361788749,875.1537869834319,29.58299827575684,29.58299827575684
run_1777363658_36c1101b,1777364146.6315384,7.0,966.0,1.0,29.58299827575684,0.0,26.648956298828125,-100.0,-100.0,0.0,0.0380716547369957,875.1537869834319,29.58299827575684,29.58299827575684
run_1777363658_36c1101b,1777364148.5849671,7.0,966.0,1.0,29.486846923828125,0.0,26.548799514770508,-100.0,-100.0,0.0,0.0978264585137367,869.4741415092722,29.486846923828125,29.58299827575684
run_1777363658_36c1101b,1777364150.5792325,7.0,966.0,1.0,29.43877410888672,0.0,26.498722076416016,-100.0,-100.0,0.0,0.1214828193187713,866.641421034059,29.43877410888672,29.58299827575684
run_1777363658_36c1101b,1777364152.6146958,7.0,966.0,1.0,29.43877410888672,0.0,26.498722076416016,-100.0,-100.0,0.0,0.1118594110012054,866.641421034059,29.43877410888672,29.58299827575684
run_1777363658_36c1101b,1777364154.5798426,7.0,966.0,1.0,29.39066696166992,0.0,26.44861221313477,-100.0,-100.0,0.0,0.1342007368803024,863.8113044517959,29.39066696166992,29.58299827575684
run_1777363658_36c1101b,1777364156.583137,7.0,966.0,1.0,29.39066696166992,0.0,26.44861221313477,-100.0,-100.0,0.0,0.1194346919655799,863.8113044517959,29.39066696166992,29.58299827575684
run_1777363658_36c1101b,1777364158.5782218,7.0,966.0,1.0,29.29449462890625,0.0,26.348432540893555,-100.0,-100.0,0.0,0.1740361899137497,858.1674155630171,29.29449462890625,29.58299827575684
run_1777363658_36c1101b,1777364160.5806177,7.0,966.0,1.0,29.246421813964844,0.0,26.29835700988769,-100.0,-100.0,0.0,0.1891263127326965,855.3531889203587,29.246421813964844,29.58299827575684
run_1777363658_36c1101b,1777364162.5785997,7.0,966.0,1.0,29.198352813720703,0.0,26.24828338623047,-100.0,-100.0,0.0,0.2040710002183914,852.5438070345117,29.198352813720703,29.58299827575684
run_1777363658_36c1101b,1777364164.5781105,7.0,966.0,1.0,29.198352813720703,0.0,26.24828338623047,-100.0,-100.0,0.0,0.1826388984918594,852.5438070345117,29.198352813720703,29.58299827575684
run_1777363658_36c1101b,1777364166.579342,7.0,966.0,1.0,29.102149963378903,0.0,26.148073196411133,-100.0,-100.0,0.0,0.2312322854995727,846.9351324909949,29.102149963378903,29.58299827575684
run_1777363658_36c1101b,1777364168.58024,7.0,966.0,1.0,29.0540828704834,0.0,26.09800338745117,-100.0,-100.0,0.0,0.242827221751213,844.1397314449168,29.0540828704834,29.58299827575684
run_1777363658_36c1101b,1777364170.580342,7.0,966.0,1.0,29.006013870239254,0.0,26.047931671142575,-100.0,-100.0,0.0,0.2526494860649109,841.3488406405122,29.006013870239254,29.58299827575684
run_1777363658_36c1101b,1777364172.6719315,7.0,966.0,1.0,28.90985107421875,0.0,25.94776153564453,-100.0,-100.0,0.0,0.2945911288261413,835.779489133507,28.90985107421875,29.58299827575684
run_1777363658_36c1101b,1777364174.58352,7.0,966.0,1.0,28.90985107421875,0.0,25.94776153564453,-100.0,-100.0,0.0,0.2664902210235595,835.779489133507,28.90985107421875,29.58299827575684
run_1777363658_36c1101b,1777364176.6095347,7.0,966.0,1.0,28.861785888671875,0.0,25.897693634033203,-100.0,-100.0,0.0,0.2727561295032501,833.002684683539,28.861785888671875,29.58299827575684
run_1777363658_36c1101b,1777364178.5819688,7.0,966.0,1.0,28.813722610473636,0.0,25.847627639770508,-100.0,-100.0,0.0,0.2797195315361023,830.2306106733195,28.813722610473636,29.58299827575684
