elapsed_s,temp,temp_ref
2.0,23.95112954452634,0.0
4.0,23.871409963816404,0.0
6.0,23.771947126835585,0.0
8.0,23.66520508751273,0.0
10.0,23.554174657911062,0.0
12.0,23.441496420651674,0.0
14.0,23.327378753572702,0.0
16.0,23.212675269693136,0.0
18.0,23.097430806607008,0.0
20.0,22.9810175485909,0.0
22.0,22.86359376832843,0.0
24.0,22.74538241699338,0.0
26.0,22.625847291201353,0.0
28.0,22.505032498389482,0.0
30.0,22.38290363177657,0.0
32.0,22.25935425236821,0.0
34.0,22.134341958910227,0.0
36.0,22.007935378700495,0.0
38.0,21.880178812891245,0.0
40.0,21.75108775869012,0.0
42.0,21.620760265737772,0.0
44.0,21.489333603531122,0.0
46.0,21.356959778815508,0.0
48.0,21.22379032149911,0.0
50.0,21.08996829763055,0.0
52.0,20.955551404505968,0.0
54.0,20.820639792829752,0.0
56.0,20.685335759073496,0.0
58.0,20.549724478274584,0.0
60.0,20.413875345140696,0.0
62.0,20.277843791991472,0.0
64.0,20.1416733302176,0.0
66.0,20.005397502332926,0.0
68.0,19.869041685014963,0.0
70.0,19.732635471969843,0.0
72.0,19.596224773675203,0.0
74.0,19.45982391014695,0.0
76.0,19.323438722640276,0.0
78.0,19.187072817236185,0.0
80.0,19.050728116184473,0.0
82.0,18.914405468851328,0.0
84.0,18.778104919940233,0.0
86.0,18.64182611182332,0.0
88.0,18.505568493157625,0.0
90.0,18.369331542402506,0.0
92.0,18.23311499133706,0.0
94.0,18.09691895917058,0.0
96.0,17.960744220763445,0.0
98.0,17.82459234073758,0.0
100.0,17.68846606090665,0.0
102.0,17.55236964300275,0.0
104.0,17.41631292179227,0.0
106.0,17.280334372073412,0.0
108.0,17.14444874599576,0.0
110.0,17.008678156882524,0.0
112.0,16.87305961921811,0.0
114.0,16.737669248133898,0.0
116.0,16.60267624631524,0.0
118.0,16.468033585697412,0.0
120.0,16.334067184478045,0.0
122.0,16.199909452348948,0.0
