epoch,train_loss,train_eval_loss,val_loss,train_mae_delta_t1,train_rmse_delta_t1,train_bias_delta_t1,val_mae_delta_t1,val_rmse_delta_t1,val_bias_delta_t1
1,0.16783836381330305,0.15329119797087898,0.21877783179484508,0.029204366728663445,0.07516331225633621,-0.0025217721704393625,0.03697787970304489,0.08608727157115936,0.004653146956115961
2,0.15470224079103836,0.14984905337991794,0.21796843751862244,0.030093103647232056,0.07484181225299835,0.002706371946260333,0.03791975975036621,0.08632566034793854,0.009886618703603745
3,0.15318151393048363,0.15168729196648953,0.22107386216521263,0.030528666451573372,0.07492204755544662,0.0022465488873422146,0.03856256976723671,0.08622383326292038,0.009297909215092659
4,0.15236592255840617,0.14934805101271176,0.21727123237340837,0.029089834541082382,0.07463163882493973,-0.0008306796080432832,0.03712699934840202,0.08587173372507095,0.006563958246260881
5,0.15153503892096606,0.15023937213847788,0.21761568399095857,0.03034079633653164,0.0746258944272995,0.0017564905574545264,0.0381123349070549,0.08586625754833221,0.009295666590332985
6,0.15054833525714795,0.14918997984369267,0.22130497268124208,0.02910323441028595,0.07468651235103607,0.0010312392842024565,0.03758123889565468,0.08667647838592529,0.008818170055747032
7,0.1502047020829085,0.14666578836595387,0.21644509402481285,0.029322436079382896,0.07425417006015778,0.0007770909578539431,0.03743446618318558,0.08586613088846207,0.007995243184268475
8,0.14962628828592536,0.14808575269194016,0.22048456513801137,0.02938583865761757,0.07458928227424622,0.004839519504457712,0.037788908928632736,0.08683694154024124,0.011612995527684689
9,0.14925371369054494,0.14819038527974085,0.21688857392684832,0.029130464419722557,0.07432681322097778,-0.0016571624437347054,0.037282545119524,0.08574145287275314,0.005800134502351284
10,0.14950488990085511,0.1466290537606586,0.21722126726967259,0.02881667949259281,0.07429565489292145,0.0005325617385096848,0.03704516962170601,0.08611676841974258,0.0074135069735348225
11,0.14854480712045978,0.14652038847940355,0.21951751189457402,0.029639702290296555,0.07434538006782532,0.004470948129892349,0.03796721249818802,0.08642484247684479,0.011122962459921837
12,0.1486722108787413,0.14622220786970838,0.2166820076369756,0.029797138646245003,0.07421612739562988,0.0025961212813854218,0.03802606090903282,0.08577859401702881,0.0094939349219203
13,0.1483263253714099,0.1453288881821409,0.2150472216308117,0.029042134061455727,0.07408375293016434,-0.0005305958911776543,0.0372384749352932,0.085356205701828,0.0060349698178470135
14,0.1478830303986539,0.1475514131841909,0.2139117666394324,0.029963230714201927,0.07420317828655243,-0.0002945156011264771,0.037613723427057266,0.08499900251626968,0.00656552892178297
15,0.14741155913628165,0.14615769456487057,0.21333675207318487,0.02916983887553215,0.07409174740314484,-0.002617900026962161,0.03707916662096977,0.08466918766498566,0.003551673609763384
16,0.14694339788157093,0.1433313145371508,0.21315766427968,0.02884192392230034,0.07395943254232407,0.0012139722239226103,0.03701327368617058,0.08521100133657455,0.007705619093030691
17,0.14610087013605869,0.14317646864852956,0.21271341742091887,0.028657041490077972,0.07395033538341522,0.0010233358480036259,0.036831147968769073,0.08515555411577225,0.007119514513760805
18,0.14574644995786598,0.14396057776675736,0.21346522847542893,0.028741056099534035,0.07401125133037567,-0.0006860793218947947,0.036866962909698486,0.08535251766443253,0.005888282787054777
19,0.14518726272277596,0.14125221436099245,0.21007389972942905,0.0288831926882267,0.07377959042787552,0.0017585812602192163,0.03704476356506348,0.0848466232419014,0.00756482407450676
20,0.13777428651972579,0.12706797637722708,0.19574570237986139,0.0266993697732687,0.0727737545967102,0.003424254013225436,0.03482895344495773,0.0840340256690979,0.009604754857718945
21,0.12187173987223097,0.10951363654504466,0.18195813667733926,0.02474847063422203,0.07132478058338165,0.0021243789233267307,0.03344152495265007,0.08287092298269272,0.00844709575176239
22,0.10967072612572636,0.10180649383008973,0.17540932315829638,0.02417878620326519,0.07085072994232178,0.0037676661740988493,0.03302226960659027,0.08234487473964691,0.009549304842948914
23,0.10433459130036273,0.09707990449855806,0.1716663502660152,0.02287054806947708,0.07058918476104736,0.002537913154810667,0.032118771225214005,0.08222189545631409,0.00882987305521965
24,0.10124357165794398,0.0946697783720559,0.1683770942224844,0.022652536630630493,0.07037380337715149,0.0012815477093681693,0.03178579732775688,0.08193256705999374,0.007364592514932156
25,0.09965331590742119,0.09364189267076409,0.16818093825635072,0.02245999313890934,0.07038121670484543,0.0012542575132101774,0.031728874891996384,0.0823744460940361,0.007531587965786457
26,0.0983066069521523,0.09250623549106364,0.1652268598711974,0.022610465064644814,0.07018088549375534,-0.0019977956544607878,0.031650468707084656,0.08179987967014313,0.004048617091029882
27,0.09672315135475032,0.09127578567251686,0.1657889911753906,0.02252686396241188,0.07011348754167557,0.0030628214590251446,0.03173423558473587,0.08204088360071182,0.009271868504583836
28,0.09592266510094492,0.0903900458013059,0.16392903528302102,0.022273095324635506,0.0700850561261177,0.0027285749092698097,0.03129449486732483,0.08196915686130524,0.00817903783172369
29,0.09510904187259596,0.08957352654459391,0.16381129088836746,0.022125840187072754,0.06998031586408615,0.003659079782664776,0.03135291114449501,0.08184465020895004,0.009324004873633385
30,0.09418564513530941,0.08990562223821633,0.16105000498528416,0.022242913022637367,0.06987880915403366,-0.0015086674829944968,0.031041117385029793,0.08106679469347,0.004571862984448671
31,0.0936476807148496,0.08804911070249298,0.16111136006342397,0.021750183776021004,0.06980416178703308,-0.0010793533874675632,0.030980190262198448,0.08140043169260025,0.005138601176440716
32,0.09328628114883893,0.0877570353509966,0.161225731056687,0.021847760304808617,0.06978388130664825,0.0015695514157414436,0.030975505709648132,0.0816083624958992,0.006965643726289272
33,0.09280213785483489,0.08729975953821309,0.16034898645169027,0.021596577018499374,0.06975644826889038,-0.000742643082048744,0.030867576599121094,0.08156056702136993,0.005470008589327335
34,0.09191921329736381,0.08735528814070152,0.15917588740184502,0.021961603313684464,0.06962289661169052,0.000583337910939008,0.030888456851243973,0.08097296208143234,0.006842194125056267
35,0.0916124550990001,0.08581802076544644,0.1585889390694934,0.02147354558110237,0.06957429647445679,-0.00024832444614730775,0.030589131638407707,0.08126427978277206,0.006058779079467058
36,0.09094453000620048,0.08551286175313404,0.15782211328277718,0.021529382094740868,0.06951084733009338,0.00044679356506094337,0.030544130131602287,0.0808582603931427,0.005947983358055353
37,0.09056990077467661,0.08540008066237466,0.15848658374837926,0.021353691816329956,0.0695231705904007,0.001378402579575777,0.03058464825153351,0.08108719438314438,0.007264160085469484
38,0.09079347351776339,0.08778341003685944,0.1628979503907062,0.021598471328616142,0.06987839937210083,0.005143150221556425,0.0309047382324934,0.08229714632034302,0.011269408278167248
39,0.09033577910755292,0.08590627284130446,0.15772329854804115,0.021529080346226692,0.06949490308761597,-0.0019728485494852066,0.030575517565011978,0.08122475445270538,0.003583879442885518
40,0.08971824417963173,0.0851679586243531,0.1571416813074737,0.02142934873700142,0.06945375353097916,0.00019680452533066273,0.03035944700241089,0.08097876608371735,0.006444421596825123
41,0.08963052522052418,0.0846558952442378,0.15666510955103347,0.021382978186011314,0.0693698301911354,-0.0020546824671328068,0.030447492375969887,0.08080223947763443,0.003594697220250964
42,0.08890762456151408,0.08380297180419126,0.15679893441296913,0.02114097587764263,0.06936699897050858,0.0007881767814978957,0.030387887731194496,0.08084958046674728,0.006267189513891935
43,0.08900260446033859,0.08400586538899371,0.1579510701467862,0.02107788808643818,0.06939338147640228,0.0020603539887815714,0.03046957589685917,0.08131411671638489,0.007760726846754551
44,0.08805928777482555,0.08371176714329023,0.1561547817309966,0.021171394735574722,0.06928423047065735,-0.0012506484054028988,0.030336694791913033,0.08086352795362473,0.004927945323288441
45,0.08849454807635838,0.08429117386868178,0.1573317817135437,0.021039631217718124,0.06943032145500183,-0.0003306423604954034,0.03037390112876892,0.08126144856214523,0.005589307751506567
46,0.08828432795388969,0.08389343484497268,0.1592199035190247,0.02112826332449913,0.06940502673387527,0.002955462783575058,0.030736150220036507,0.08146272599697113,0.009272800758481026
47,0.08756158593272374,0.08388317341482672,0.1559317425598164,0.021015530452132225,0.06934817135334015,-0.0018805456347763538,0.03015485778450966,0.08087841421365738,0.004272439517080784
48,0.0876055265220072,0.08236748908874746,0.1547594000459523,0.020920848473906517,0.06917306780815125,0.00028560037026181817,0.029980657622218132,0.08050820231437683,0.006095037795603275
49,0.08754306768911273,0.0831580914495405,0.15588049681202784,0.020908297970891,0.06928818672895432,0.00010022069182014093,0.030043097212910652,0.0809389278292656,0.006621113047003746
