run_id,band,kp,ki,kd,cost,n_samples,start_temp,target_temp,duration_s,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,weighted_approach_speed,brake_penalty,mean_brake_weight,tail_mae,jitter_std,overshoot,mean_sq_overshoot,max_overshoot
run_1780537078_343f2a9f,far,1.0,998.0,3.0,19.883020437745486,170,24.260963439941406,0.0,1197.7119252681732,19.38318695741541,339.714231967926,,,,,,,,,,
run_1780537078_343f2a9f,mid,19.0,456.0,49.0,3.0960071893794474,67,24.260963439941406,0.0,1197.7119252681732,,,6.170693102167614,0.053145750681222306,0.021341007333012835,0.001066063829564064,0.44447701208599033,,,,,
run_1780537078_343f2a9f,near,7.0,80.0,46.0,0.23620264602899982,363,24.260963439941406,0.0,1197.7119252681732,,,,,,,,0.025182771366953013,0.02362646412119832,0.0425220113221492,0.0008370514953868803,0.0383367538452148
