rank,candidate_id,kp,ki,kd,cost,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,min_temp,max_temp,end_temp
1,394,6.0,936.0,17.0,8.72802696021322,0.47334595696144266,0.47334595696144266,0.03886534864384438,0.8031875960227808,0.43394633331905047,0.40674473740409667,0.40674473740409667,494.0,528.0,7.577648627441674,-0.8031875960227808,27.252738567010965,-0.40674473740409667
2,41,6.0,943.0,18.0,8.861393158400533,0.49088287089971766,0.49088287089971766,0.042216018071076986,0.8140070553563419,0.4441744181026121,0.4186634498037165,0.4186634498037165,498.0,532.0,7.719610313620796,-0.8140070553563419,27.2627165354279,-0.4186634498037165
3,341,6.0,886.0,7.0,8.994183956719056,0.46914336856710764,0.46914336856710764,0.013816028548564811,0.8296931928998674,0.424906572632519,0.44240128975798143,0.44240128975798143,474.0,508.0,6.933771825949625,-0.8296931928998674,27.138157583773136,-0.44240128975798143
4,293,6.0,843.0,18.0,9.923848038965518,0.5568980126929259,0.5568980126929259,0.04754507470975047,0.9107200133148581,0.5048632504510426,0.47195471153827384,0.47195471153827384,480.0,512.0,7.384368968657703,-0.9107200133148581,27.261268513277173,-0.47195471153827384
5,374,7.0,943.0,17.0,10.292418972200986,0.5422008961057218,0.5422008961057218,0.040913614252501035,0.9492257016245276,0.5064903281402348,0.47500850544747664,0.47500850544747664,492.0,526.0,7.431728465456908,-0.9492257016245276,27.188851803541183,-0.47500850544747664
6,483,7.0,946.0,12.0,10.706610200332811,0.5342623575680946,0.5342623575680946,0.027951012099793577,0.9914208056798088,0.5104990523176576,0.48832855983346235,0.48832855983346235,482.0,516.0,7.110408905869226,-0.9914208056798088,27.140515115112066,-0.48832855983346235
7,321,7.0,907.0,13.0,11.005296324637335,0.5541982726419568,0.5541982726419568,0.030191495141519212,1.0184046926442534,0.527524430159013,0.5039107559641707,0.5039107559641707,480.0,514.0,7.1216675107427365,-1.0184046926442534,27.15286041609943,-0.5039107559641707
8,107,7.0,789.0,9.0,12.657654015989728,0.60015043371018,0.60015043371018,0.03616809344227855,1.177418401632167,0.5829131527981567,0.530471038473479,0.530471038473479,460.0,492.0,6.783783438118408,-1.177418401632167,27.12727852910757,-0.530471038473479
9,227,6.0,560.0,13.0,13.439268765769487,0.44884060835697076,0.44884060835697076,0.08685069082970683,1.2798307389602996,0.5562982674899785,0.29739084478933364,0.29739084478933364,446.0,478.0,6.641396526741737,-1.2798307389602996,27.208350785076618,-0.29739084478933364
10,216,8.0,952.0,12.0,13.534447718716004,0.6776850212385915,0.6776850212385915,0.03926041194999224,1.253109827863227,0.6482538410066516,0.61206842574029,0.61206842574029,480.0,514.0,7.097693391360614,-1.253109827863227,27.105083879083395,-0.61206842574029
11,167,7.0,714.0,7.0,13.860757167220012,0.5892178625221975,0.5892178625221975,0.05007953779833336,1.299974916561041,0.6042162777700852,0.49350074037647573,0.49350074037647573,448.0,478.0,6.593768376731944,-1.299974916561041,27.11970914900303,-0.49350074037647573
12,478,7.0,636.0,17.0,14.924945064194894,0.6275451706201208,0.6275451706201208,0.08828810380656853,1.401889264700003,0.6780160741165824,0.468726389342919,0.468726389342919,454.0,486.0,6.870966745919043,-1.401889264700003,27.200192058458924,-0.468726389342919
13,287,8.0,836.0,9.0,15.246514643696907,0.7197499540619035,0.7197499540619035,0.044924011824154265,1.4185759259271435,0.7057574349144198,0.6370868489029817,0.6370868489029817,458.0,490.0,6.774851862658688,-1.4185759259271435,27.097372565360274,-0.6370868489029817
14,481,8.0,820.0,11.0,15.474104365769469,0.7143171501657402,0.7143171501657402,0.046717920078388264,1.442170420777984,0.7125824829382418,0.6294480955693871,0.6294480955693871,462.0,494.0,6.848376121367134,-1.442170420777984,27.11028178781271,-0.6294480955693871
15,290,9.0,896.0,14.0,17.378552922719912,0.832991530555177,0.832991530555177,0.056646610171427386,1.6148897429811768,0.8222140256114497,0.7366813145345077,0.7366813145345077,472.0,506.0,7.053469946866293,-1.6148897429811768,27.09571309015155,-0.7366813145345077
16,166,7.0,515.0,13.0,17.852339056254998,0.4831304936322834,0.4831304936322834,0.09948652941627528,1.7163549531833269,0.6770801871017862,0.31183153216261417,0.31183153216261417,440.0,470.0,6.541281883311167,-1.7163549531833269,27.173970323055983,-0.31183153216261417
17,393,9.0,889.0,5.0,18.427904381286663,0.8613031815856695,0.8613031815856695,0.07183815238217912,1.716204118092719,0.8595513179882631,0.7372818851654301,0.7372818851654301,444.0,478.0,6.626377479219627,-1.716204118092719,27.03654794767499,-0.7372818851654301
18,180,7.0,449.0,15.0,18.639211495619797,0.4124844793121589,0.4124844793121589,0.11056997326014795,1.8056943026022054,0.6806337685366176,0.22899800731102005,0.22899800731102005,438.0,468.0,6.499330424695024,-1.8056943026022054,27.190604077652097,-0.22899800731102005
19,239,10.0,969.0,17.0,18.790358406147384,0.9562860511036436,0.9562860511036436,0.07076510576936035,1.7378868443702231,0.9159314433104419,0.8396427169136587,0.8396427169136587,484.0,518.0,7.270423100504752,-1.7378868443702231,27.079688012599945,-0.8396427169136587
20,472,8.0,620.0,12.0,19.00041437701852,0.6403227041449262,0.6403227041449262,0.09067850923352701,1.8073405903414823,0.7753997703586559,0.4826930296840146,0.4826930296840146,444.0,474.0,6.601393133830764,-1.8073405903414823,27.133838146924973,-0.4826930296840146
21,199,9.0,776.0,12.0,19.28163230138671,0.8263624289172504,0.8263624289172504,0.06695987830656597,1.8068766390206292,0.8655140627690557,0.706047086219769,0.706047086219769,454.0,486.0,6.767555994662301,-1.8068766390206292,27.09814164042473,-0.706047086219769
22,98,6.0,260.0,18.0,19.376865777278752,0.05130776829457848,0.05130776829457848,0.0410980483460715,1.930309446528554,0.5756373101386983,0.0038290390511974692,0.0038290390511974692,428.0,456.0,6.27616166957004,-1.930309446528554,27.24400627426803,-0.0038290390511974692
23,175,6.0,321.0,6.0,19.45356336426877,0.17747219674295395,0.17747219674295395,0.07146596267719096,1.92039549164474,0.5147007718790115,0.0728065394796431,0.0728065394796431,426.0,452.0,6.179814787110081,-1.92039549164474,27.159239511936903,-0.0728065394796431
24,182,9.0,752.0,14.0,19.52341097512789,0.8196865544289764,0.8196865544289764,0.07202970989671736,1.8321594318258576,0.8739589749193143,0.6922304949839599,0.6922304949839599,456.0,488.0,6.823332061349065,-1.8321594318258576,27.111640043498483,-0.6922304949839599
25,457,8.0,601.0,8.0,19.768778053432275,0.6096468324436103,0.6096468324436103,0.0856627886155016,1.88870595023036,0.7611143215722287,0.45848064875463024,0.45848064875463024,434.0,464.0,6.415459559942635,-1.88870595023036,27.110581792891026,-0.45848064875463024
26,283,9.0,704.0,18.0,20.17008531013907,0.8339425471834129,0.8339425471834129,0.09410732928972357,1.895322764350567,0.9075866021987453,0.6717229096102528,0.6717229096102528,458.0,490.0,6.942778453254141,-1.895322764350567,27.136266469955444,-0.6717229096102528
27,110,10.0,897.0,17.0,20.215158305990517,0.9718560655705403,0.9718560655705403,0.07356541418578885,1.8781975378515199,0.9627988835192407,0.8490883096237667,0.8490883096237667,474.0,508.0,7.1578819739016275,-1.8781975378515199,27.08979494869709,-0.8490883096237667
28,124,9.0,731.0,9.0,20.278331449262687,0.8056364233061264,0.8056364233061264,0.07581232987125724,1.910025533346925,0.875044614011659,0.6690670551033691,0.6690670551033691,442.0,474.0,6.57448127955208,-1.910025533346925,27.0827620588243,-0.6690670551033691
29,466,8.0,535.0,16.0,20.62390138159357,0.6061870070157779,0.6061870070157779,0.11328587837999672,1.9756258688867092,0.8158808522194129,0.4096254930414034,0.4096254930414034,442.0,472.0,6.636284803356442,-1.9756258688867092,27.160761227831244,-0.4096254930414034
30,493,9.0,728.0,9.0,20.70581370796251,0.8047538770305683,0.8047538770305683,0.07709144188183567,1.9529419821337797,0.8850119193897011,0.6661885773064569,0.6661885773064569,442.0,472.0,6.574717904375963,-1.9529419821337797,27.082959681749344,-0.6661885773064569
31,9,10.0,877.0,14.0,20.998257375407274,0.9778600981939332,0.9778600981939332,0.07402890102646914,1.9557939434307627,0.9841778606053647,0.8508867847849615,0.8508867847849615,466.0,498.0,6.979640765281123,-1.9557939434307627,27.07674214983126,-0.8508867847849615
32,68,8.0,503.0,19.0,21.09631702123487,0.5943434409703134,0.5943434409703134,0.12719447535570386,2.0249926318065263,0.8384868022742479,0.376900049042888,0.376900049042888,444.0,474.0,6.712238654605366,-2.0249926318065263,27.18464300961932,-0.376900049042888
33,3,7.0,374.0,12.0,21.447631415587097,0.29096795183094526,0.29096795183094526,0.09705059663892637,2.103959457948804,0.669477059143091,0.13708717189729214,0.13708717189729214,430.0,458.0,6.310804051697875,-2.103959457948804,27.167580364272,-0.13708717189729214
34,183,10.0,817.0,17.0,21.54251709840369,0.9677828361591732,0.9677828361591732,0.08072947465390169,2.0118990336777642,0.9990355542593642,0.8307583762798458,0.8307583762798458,466.0,498.0,7.028408687006643,-2.0118990336777642,27.099368266761303,-0.8307583762798458
35,353,9.0,686.0,5.0,21.56826166869864,0.763232831925877,0.763232831925877,0.08045444924598757,2.0453248731791973,0.877189385047499,0.623105760715589,0.623105760715589,430.0,460.0,6.389686861147262,-2.0453248731791973,27.056016754359007,-0.623105760715589
36,4,7.0,359.0,14.0,21.67374114979398,0.26745613104014637,0.26745613104014637,0.09608994064734362,2.129955155774951,0.6819861038680134,0.11737698136130348,0.11737698136130348,430.0,458.0,6.338534051094126,-2.129955155774951,27.183330660685897,-0.11737698136130348
