run_id,band,kp,ki,kd,cost,n_samples,start_temp,target_temp,duration_s,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,weighted_approach_speed,brake_penalty,mean_brake_weight,tail_mae,jitter_std,overshoot,mean_sq_overshoot,max_overshoot
run_1780540804_9e56ad78,far,1.0,998.0,3.0,19.97223731979292,171,24.34983253479004,0.0,1197.7152690887451,19.442482189825405,341.69987416267395,,,,,,,,,,
run_1780540804_9e56ad78,mid,19.0,456.0,49.0,3.0925421855206543,67,24.34983253479004,0.0,1197.7152690887451,,,6.164079641228292,0.0522247210477089,0.020939681416431467,0.001050236490650832,0.4432016600439607,,,,,
run_1780540804_9e56ad78,near,7.0,79.0,47.0,0.2571368545130868,362,24.34983253479004,0.0,1197.7152690887451,,,,,,,,0.026858383814493767,0.026812156050824612,0.04250092281548248,0.0008328337940535353,0.0383367538452148
