run_id,timestamp,elapsed_s,decision_idx,decision_elapsed_s,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp
mpc_replay_1780492043_7b06cb38,1780492524.93013,0.0,1,0.0,50.0,508.0,1.0,24.438722610473633,0.0,20.993562698364258,-48.94047546386719,-48.877445220947266,-0.06745582073926926,0.004421710968017578,597.2511628316752,24.438722610473633,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492526.918041,1.9879109859466553,1,0.0,50.0,508.0,1.0,24.438722610473633,0.0,20.993562698364258,-49.133331298828125,-48.877445220947266,-0.25988665223121643,0.003999926615506411,597.2511628316752,24.438722610473633,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492528.9152958,3.98516583442688,1,0.0,50.0,508.0,1.0,24.438722610473633,0.0,20.993562698364258,-49.32614517211914,-48.877445220947266,-0.452317476272583,0.003618375165387988,597.2511628316752,24.438722610473633,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492530.907736,5.9776060581207275,1,0.0,50.0,508.0,1.0,24.438722610473633,0.0,20.993562698364258,-49.5189208984375,-48.877445220947266,-0.6447482705116272,0.0032732211984694004,597.2511628316752,24.438722610473633,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492532.913159,7.983028888702393,1,0.0,50.0,508.0,1.0,24.34983253479004,0.0,20.89356231689453,-49.524959564208984,-48.69966506958008,-0.8371443748474121,0.01184998918324709,592.9143444723195,24.34983253479004,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492534.9070215,9.97689151763916,1,0.0,50.0,508.0,1.0,24.394285202026367,0.0,20.943571090698242,-49.8111686706543,-48.78856658935547,-1.028963327407837,0.006362602114677429,595.0811505178026,24.394285202026367,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492536.917934,11.987803936004639,2,10.0,50.0,327.0,1.0,24.34983253479004,0.0,20.89356231689453,-49.95829772949219,-48.69966506958008,-1.2685739994049072,0.00994143821299076,592.9143444723195,24.34983253479004,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492538.9102907,13.9801607131958,2,10.0,50.0,327.0,1.0,24.305397033691406,0.0,20.843570709228516,-50.163734436035156,-48.61079025268555,-1.5662955045700073,0.013348468579351902,590.752324965375,24.305397033691406,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492540.9174902,15.98736023902893,2,10.0,50.0,327.0,1.0,24.260963439941406,0.0,20.793582916259766,-50.368858337402344,-48.52192687988281,-1.8629310131072998,0.015999648720026016,588.5943470341736,24.260963439941406,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492542.909715,17.97958493232727,2,10.0,50.0,327.0,1.0,24.216514587402344,0.0,20.74357795715332,-50.57376480102539,-48.43302536010742,-2.159566640853882,0.01883010007441044,586.4395787618705,24.216514587402344,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492544.9188893,19.9887592792511,2,10.0,50.0,327.0,1.0,24.127613067626953,0.0,20.643566131591797,-50.684974670410156,-48.255226135253906,-2.455413579940796,0.02566445991396904,582.1417123411229,24.127613067626953,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492546.914105,21.983974933624268,3,20.0,50.0,674.0,1.0,24.127613067626953,0.0,20.643566131591797,-50.9141845703125,-48.255226135253906,-2.682175397872925,0.02321634441614151,582.1417123411229,24.127613067626953,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492548.907008,23.97687792778015,3,20.0,50.0,674.0,1.0,24.038734436035156,0.0,20.543577194213867,-50.873016357421875,-48.07746887207031,-2.825181722640991,0.029630141332745552,577.8607532862225,24.038734436035156,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492550.9190578,25.988927841186523,3,20.0,50.0,674.0,1.0,24.038734436035156,0.0,20.543577194213867,-51.01850509643555,-48.07746887207031,-2.9678454399108887,0.026803743094205856,577.8607532862225,24.038734436035156,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492552.9198656,27.98973560333252,3,20.0,50.0,674.0,1.0,23.949857711791992,0.0,20.44359016418457,-50.97715759277344,-47.899715423583984,-3.1103241443634033,0.032875146716833115,573.5956844150824,23.949857711791992,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492554.9157727,29.985642671585083,3,20.0,50.0,674.0,1.0,23.949857711791992,0.0,20.44359016418457,-51.122440338134766,-47.899715423583984,-3.2524590492248535,0.029739204794168472,573.5956844150824,23.949857711791992,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492556.9123926,31.98226261138916,4,30.0,50.0,1000.0,1.0,23.905399322509766,0.0,20.393573760986328,-51.1533203125,-47.81079864501953,-3.373610258102417,0.031088702380657196,571.4681167686504,23.905399322509766,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492558.9166281,33.9864981174469,4,30.0,50.0,1000.0,1.0,23.86095428466797,0.0,20.34357261657715,-51.15861129760742,-47.72190856933594,-3.469186305999756,0.03247944265604019,569.3451393750147,23.86095428466797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492560.909887,35.97975707054138,4,30.0,50.0,1000.0,1.0,23.86095428466797,0.0,20.34357261657715,-51.25715637207031,-47.72190856933594,-3.5646281242370605,0.029381249099969864,569.3451393750147,23.86095428466797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492562.9177282,37.987598180770874,4,30.0,50.0,1000.0,1.0,23.772083282470703,0.0,20.243593215942383,-51.16900634765625,-47.544166564941406,-3.6598753929138184,0.03503505140542984,565.1119435887231,23.772083282470703,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492564.909248,39.97911810874939,4,30.0,50.0,1000.0,1.0,23.772083282470703,0.0,20.243593215942383,-51.26744079589844,-47.544166564941406,-3.754966974258423,0.03169307857751846,565.1119435887231,23.772083282470703,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492566.915658,41.985527992248535,5,40.0,50.0,1000.0,1.0,23.72765350341797,0.0,20.19361114501953,-51.272438049316406,-47.45530319213867,-3.8499069213867188,0.03277045860886574,563.001540778263,23.72765350341797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492568.9062848,43.976154804229736,5,40.0,50.0,1000.0,1.0,23.683202743530273,0.0,20.14360237121582,-51.27727508544922,-47.36640548706055,-3.9447035789489746,0.03383008390665054,560.8940921911599,23.683202743530273,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492570.9136407,45.98351073265076,5,40.0,50.0,1000.0,1.0,23.638790130615234,0.0,20.093637466430664,-51.282012939453125,-47.27758026123047,-4.039392948150635,0.03495614975690842,558.7923988392722,23.638790130615234,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492572.91957,47.989439964294434,5,40.0,50.0,1000.0,1.0,23.638790130615234,0.0,20.093637466430664,-51.379905700683594,-47.27758026123047,-4.13394832611084,0.03162170574069023,558.7923988392722,23.638790130615234,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492574.9117742,49.98164415359497,5,40.0,50.0,1000.0,1.0,23.59433364868164,0.0,20.043624877929688,-51.384307861328125,-47.18866729736328,-4.228351593017578,0.03270835429430008,556.6925803253107,23.59433364868164,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492576.9087114,51.97858142852783,6,50.0,50.0,1000.0,1.0,23.549909591674805,0.0,19.993648529052734,-51.38865661621094,-47.099815368652344,-4.3226118087768555,0.03377138823270798,554.598241776057,23.549909591674805,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492578.9079928,53.97786283493042,6,50.0,50.0,1000.0,1.0,23.505470275878906,0.0,19.943653106689453,-51.392799377441406,-47.01094055175781,-4.416764736175537,0.03490566834807396,552.5071328902268,23.505470275878906,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492580.9163485,55.98621845245361,6,50.0,50.0,1000.0,1.0,23.505470275878906,0.0,19.943653106689453,-51.49014663696289,-47.01094055175781,-4.510783672332764,0.03157603740692139,552.5071328902268,23.505470275878906,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492582.9059618,57.975831747055054,6,50.0,50.0,1000.0,1.0,23.46104621887207,0.0,19.8936767578125,-51.49408721923828,-46.92209243774414,-4.604657173156738,0.03266404941678047,550.4206896840515,23.46104621887207,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492584.9099088,59.97977876663208,6,50.0,50.0,1000.0,1.0,23.46104621887207,0.0,19.8936767578125,-51.59104919433594,-46.92209243774414,-4.698504447937012,0.029548242688179016,550.4206896840515,23.46104621887207,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492586.9156368,61.985506772994995,7,60.0,50.0,1000.0,1.0,23.416608810424805,0.0,19.843685150146484,-51.59458541870117,-46.83321762084961,-4.792200088500977,0.03083091229200363,548.3375681804646,23.416608810424805,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492588.9166296,63.986499547958374,7,60.0,50.0,1000.0,1.0,23.416608810424805,0.0,19.843685150146484,-51.691200256347656,-46.83321762084961,-4.885868549346924,0.027889970690011978,548.3375681804646,23.416608810424805,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492590.9201813,65.99005126953125,7,60.0,50.0,1000.0,1.0,23.37218475341797,0.0,19.79370880126953,-51.69442367553711,-46.74436569213867,-4.9793853759765625,0.02932959422469139,546.2590201479034,23.37218475341797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492592.9079854,67.97785544395447,7,60.0,50.0,1000.0,1.0,23.37218475341797,0.0,19.79370880126953,-51.790714263916016,-46.74436569213867,-5.072875499725342,0.02653186023235321,546.2590201479034,23.37218475341797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492594.9117079,69.98157787322998,7,60.0,50.0,1000.0,1.0,23.327735900878906,0.0,19.743703842163086,-51.793434143066406,-46.65547180175781,-5.166320323944092,0.028357651084661484,544.1832622611546,23.327735900878906,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492596.9135392,71.98340916633606,8,70.0,50.0,993.0,4.0,23.327735900878906,0.0,19.743703842163086,-51.81278610229492,-46.65547180175781,-5.259926795959473,0.1026105135679245,544.1832622611546,23.327735900878906,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492598.9174688,73.98733878135681,8,70.0,50.0,993.0,4.0,23.283300399780273,0.0,19.69371223449707,-51.81111526489258,-46.56660079956055,-5.35374116897583,0.10922689735889435,542.1120775064082,23.283300399780273,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492600.9188526,75.98872256278992,8,70.0,50.0,993.0,4.0,23.283300399780273,0.0,19.69371223449707,-51.91532516479492,-46.56660079956055,-5.447529315948486,0.09880780428647995,542.1120775064082,23.283300399780273,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492602.9099715,77.97984147071838,8,70.0,50.0,993.0,4.0,23.23885154724121,0.0,19.643707275390625,-51.91216278076172,-46.47770309448242,-5.5412726402282715,0.10680918395519257,540.0442212347152,23.23885154724121,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492604.9152942,79.98516416549683,8,70.0,50.0,993.0,4.0,23.23885154724121,0.0,19.643707275390625,-52.01596450805664,-46.47770309448242,-5.634881496429443,0.09662072360515594,540.0442212347152,23.23885154724121,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492606.918907,81.98877692222595,9,80.0,50.0,1000.0,19.0,23.194446563720703,0.0,19.593751907348633,-51.619178771972656,-46.388893127441406,-5.728150844573975,0.4978641867637634,537.9823513972951,23.194446563720703,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492608.9071836,83.97705364227295,9,80.0,50.0,1000.0,19.0,23.194446563720703,0.0,19.593751907348633,-51.75944519042969,-46.388893127441406,-5.820925712585449,0.4503732919692993,537.9823513972951,23.194446563720703,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492610.9097233,85.97959327697754,9,80.0,50.0,1000.0,19.0,23.10558319091797,0.0,19.4937801361084,-51.5518798828125,-46.21116638183594,-5.9136128425598145,0.5729011297225952,533.867974592431,23.10558319091797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492612.91263,87.98250007629395,9,80.0,50.0,1000.0,19.0,23.14999771118164,0.0,19.543746948242188,-51.868927001953125,-46.29999542236328,-6.006117343902588,0.4371819496154785,535.9223940277152,23.14999771118164,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492614.90872,89.97859001159668,9,80.0,50.0,1000.0,19.0,23.061176300048828,0.0,19.443824768066406,-51.65681076049805,-46.122352600097656,-6.098702907562256,0.5642399191856384,531.8178523419338,23.061176300048828,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492616.920989,91.99085903167725,10,90.0,50.0,1000.0,1.0,23.14999771118164,0.0,19.543746948242188,-52.472774505615234,-46.29999542236328,-6.191109657287598,0.018331065773963928,535.9223940277152,23.14999771118164,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492618.9127238,93.98259377479553,10,90.0,50.0,1000.0,1.0,23.10558319091797,0.0,19.4937801361084,-52.47404098510742,-46.21116638183594,-6.283558368682861,0.020681627094745636,533.867974592431,23.10558319091797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492620.9148102,95.98468017578125,10,90.0,50.0,1000.0,1.0,23.10558319091797,0.0,19.4937801361084,-52.56842803955078,-46.21116638183594,-6.375975131988525,0.018708819523453712,533.867974592431,23.10558319091797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492622.9164631,97.98633313179016,10,90.0,50.0,1000.0,1.0,23.061176300048828,0.0,19.443824768066406,-52.56977844238281,-46.122352600097656,-6.468109130859375,0.02068011276423931,531.8178523419338,23.061176300048828,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492624.9078498,99.97771978378296,10,90.0,50.0,1000.0,1.0,23.061176300048828,0.0,19.443824768066406,-52.66398620605469,-46.122352600097656,-6.560347080230713,0.018707450479269028,531.8178523419338,23.061176300048828,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492626.9182107,101.98808073997498,11,100.0,50.0,453.0,20.0,23.01673126220703,0.0,19.393823623657227,-52.30880355834961,-46.03346252441406,-6.7026896476745605,0.4273490905761719,529.7699179966585,23.01673126220703,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492628.9205346,103.99040460586548,11,100.0,50.0,453.0,20.0,22.97231674194336,0.0,19.343856811523438,-52.37846374511719,-45.94462966918945,-6.905752182006836,0.4719218611717224,527.7273364921712,22.97231674194336,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492630.910207,105.98007702827454,11,100.0,50.0,453.0,20.0,23.01673126220703,0.0,19.393823623657227,-52.80400466918945,-46.03346252441406,-7.108621120452881,0.3380765914916992,529.7699179966585,23.01673126220703,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492632.9157636,107.98563361167908,11,100.0,50.0,453.0,20.0,22.97231674194336,0.0,19.343856811523438,-52.86514663696289,-45.94462966918945,-7.311683654785156,0.39116501808166504,527.7273364921712,22.97231674194336,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492634.9149024,109.98477244377136,11,100.0,50.0,453.0,20.0,22.97231674194336,0.0,19.343856811523438,-53.10531234741211,-45.94462966918945,-7.514533519744873,0.35385197401046753,527.7273364921712,22.97231674194336,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492636.9127545,111.98262453079224,12,110.0,50.0,752.0,20.0,22.97231674194336,0.0,19.343856811523438,-53.30561447143555,-45.94462966918945,-7.68108606338501,0.32009825110435486,527.7273364921712,22.97231674194336,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492638.9198713,113.98974132537842,12,110.0,50.0,752.0,20.0,22.927886962890625,0.0,19.293872833251953,-53.287269592285156,-45.85577392578125,-7.803072929382324,0.3715755045413971,525.6880005830899,22.927886962890625,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492640.9144037,115.98427367210388,12,110.0,50.0,752.0,20.0,22.927886962890625,0.0,19.293872833251953,-53.444664001464844,-45.85577392578125,-7.925024032592773,0.33613115549087524,525.6880005830899,22.927886962890625,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492642.9088082,117.97867822647095,12,110.0,50.0,752.0,20.0,22.83904266357422,0.0,19.19392204284668,-53.25337600708008,-45.67808532714844,-8.046674728393555,0.471383273601532,521.6218697885633,22.83904266357422,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492644.920697,119.99056696891785,12,110.0,50.0,752.0,20.0,22.883472442626953,0.0,19.243906021118164,-53.59416580200195,-45.766944885253906,-8.1682710647583,0.34105154871940613,523.6533110324672,22.883472442626953,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492646.9118216,121.98169159889221,13,120.0,50.0,1.0,20.0,22.83904266357422,0.0,19.19392204284668,-94.63134002685547,-45.67808532714844,-49.34544372558594,0.3921910524368286,521.6218697885633,22.83904266357422,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492648.9140036,123.98387360572815,13,120.0,50.0,1.0,20.0,22.83904266357422,0.0,19.19392204284668,-100.0,-45.67808532714844,-100.0,0.3547801971435547,521.6218697885633,22.83904266357422,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492650.9071424,125.97701239585876,13,120.0,50.0,1.0,20.0,22.794599533081055,0.0,19.143924713134766,-100.0,-45.589195251464844,-100.0,0.40982407331466675,519.593767873539,22.794599533081055,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492652.9146233,127.98449325561523,13,120.0,50.0,1.0,20.0,22.750158309936523,0.0,19.09392738342285,-100.0,-45.50031280517578,-100.0,0.45611992478370667,517.5697031271739,22.750158309936523,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492654.918575,129.98844504356384,13,120.0,50.0,1.0,20.0,22.66132354736328,0.0,18.993988037109375,-100.0,-45.3226432800293,-100.0,0.5902804136276245,513.5355849182815,22.66132354736328,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492656.9112048,131.98107481002808,14,130.0,16.0,1000.0,19.0,22.705760955810547,0.0,19.043981552124023,-100.0,-100.0,-100.0,1.3317588567733765,515.5515805824107,22.705760955810547,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492658.9192076,133.9890775680542,14,130.0,16.0,1000.0,19.0,22.572484970092773,0.0,18.894044876098633,-100.0,-100.0,-100.0,1.9806458950042725,509.51707772506415,22.572484970092773,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492660.912601,135.9824709892273,14,130.0,16.0,1000.0,19.0,22.572484970092773,0.0,18.894044876098633,-100.0,-100.0,-100.0,1.7917133569717407,509.51707772506415,22.572484970092773,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492662.9207633,137.99063324928284,14,130.0,16.0,1000.0,19.0,22.528078079223633,0.0,18.844087600708008,-100.0,-100.0,-100.0,1.8690762519836426,507.51430194359637,22.528078079223633,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492664.916938,139.98680806159973,14,130.0,16.0,1000.0,19.0,22.439247131347656,0.0,18.744152069091797,-100.0,-100.0,-100.0,2.1974873542785645,503.519811821694,22.439247131347656,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492666.9088295,141.9786994457245,15,140.0,16.0,994.0,15.0,22.439247131347656,0.0,18.744152069091797,-100.0,-100.0,-100.0,1.581531047821045,503.519811821694,22.439247131347656,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492668.9149053,143.9847753047943,15,140.0,16.0,994.0,15.0,22.394840240478516,0.0,18.694194793701172,-100.0,-100.0,-100.0,1.6346945762634277,501.5288693965558,22.394840240478516,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492670.906591,145.9764609336853,15,140.0,16.0,994.0,15.0,22.305980682373047,0.0,18.594228744506836,-100.0,-100.0,-100.0,1.8709752559661865,497.55677420239954,22.305980682373047,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492672.9079144,147.9777843952179,15,140.0,16.0,994.0,15.0,22.261592864990234,0.0,18.54429054260254,-100.0,-100.0,-100.0,1.8964415788650513,495.5785168865841,22.261592864990234,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492674.9181726,149.98804259300232,15,140.0,16.0,994.0,15.0,22.172725677490234,0.0,18.44431495666504,-100.0,-100.0,-100.0,2.1199469566345215,491.6297639692348,22.172725677490234,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492676.9146893,151.98455929756165,16,150.0,50.0,925.0,2.0,22.12833595275879,0.0,18.394378662109375,-100.0,-44.25667190551758,-100.0,0.09052469581365585,489.6632520381572,22.12833595275879,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492678.920436,153.99030590057373,16,150.0,50.0,925.0,2.0,22.03950309753418,0.0,18.29444122314453,-100.0,-44.07900619506836,-100.0,0.0986189916729927,485.7396967862187,22.03950309753418,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492680.9118035,155.9816734790802,16,150.0,50.0,925.0,2.0,21.995086669921875,0.0,18.24447250366211,-100.0,-43.990169525146484,-100.0,0.09791873395442963,483.78383761737496,21.995086669921875,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492682.9207182,157.9905881881714,16,150.0,50.0,925.0,2.0,21.86184310913086,0.0,18.094573974609375,-100.0,-43.72368621826172,-100.0,0.11470862478017807,477.94018412825244,21.86184310913086,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492684.9116788,159.98154878616333,16,150.0,50.0,925.0,2.0,21.77306365966797,0.0,17.99469566345215,-100.0,-43.54612350463867,-100.0,0.1211700364947319,474.0663011279539,21.77306365966797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492686.9210067,161.9908766746521,17,160.0,14.0,1000.0,7.0,21.684242248535156,0.0,17.894771575927734,-100.0,-100.0,-100.0,1.5921995639801025,470.206361893157,21.684242248535156,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492688.9162,163.98606991767883,17,160.0,14.0,1000.0,7.0,21.639829635620117,0.0,17.84480857849121,-100.0,-100.0,-100.0,1.5491482019424438,468.2822266586627,21.639829635620117,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492690.9078534,165.97772336006165,17,160.0,14.0,1000.0,7.0,21.506603240966797,0.0,17.694929122924805,-100.0,-100.0,-100.0,1.727957844734192,462.53398296436353,21.506603240966797,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492692.9182053,167.98807525634766,17,160.0,14.0,1000.0,7.0,21.417802810668945,0.0,17.595027923583984,-100.0,-100.0,-100.0,1.7807230949401855,458.7222772366986,21.417802810668945,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492694.912641,169.98251104354858,17,160.0,14.0,1000.0,7.0,21.373382568359375,0.0,17.545055389404297,-100.0,-100.0,-100.0,1.7154287099838257,456.8214824134484,21.373382568359375,24.438722610473633
mpc_replay_1780492043_7b06cb38,1780492696.906204,171.97607398033142,18,170.0,50.0,350.0,1.0,21.240196228027344,0.0,17.395221710205078,-100.0,-42.48039245605469,-100.0,0.07461796700954437,451.145935805107,21.240196228027344,24.438722610473633
