run_id,band,kp,ki,kd,cost,n_samples,start_temp,target_temp,duration_s,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,weighted_approach_speed,brake_penalty,mean_brake_weight,tail_mae,jitter_std,overshoot,mean_sq_overshoot,max_overshoot
mpc_replay_1780494638_1c971ee4,far,40.0,935.0,1.0,18.747208028805407,158,24.172046661376957,0.0,1247.997009754181,18.534708940530127,315.9951186180115,,,,,,,,,,
mpc_replay_1780494638_1c971ee4,mid,1.0,1.0,19.0,3.219513960925312,57,24.172046661376957,0.0,1247.997009754181,,,6.4055349199395435,0.061645000508319996,0.02478634820025501,0.0016746500955540271,0.4143881900604741,,,,,
mpc_replay_1780494638_1c971ee4,near,1.0,897.0,2.0,3.269774095402273,410,24.172046661376957,0.0,1247.997009754181,,,,,,,,0.29298752033157854,0.2166640372626093,1.3074913480944912,0.12161704021826346,0.6994061470031738
